Site_ID,Site_name,Sorting,Month,Date,DOY,Week,Time,latitude,longitude,Air_temp,Cloud (%),Wind_km.hr,Field_team,Secchi.m,Depth.m,Max_depth.m,DO Calibration%,Sample_depth,Depth_grouped,Surface_Temp,Surface_DO.sat,Surface_DO.mg.L,Surface_Cond,Surface_Sal.ppt,Surface_pH,Deep_Temp,Deep_DO.sat,Deep_DO.mg.L,Deep_Cond,Deep_Sal.ppt,Deep_pH,TDS.mg.L,YSI_atm,Chl_total,Chla,NH3.mg.N.L,NH3.ug.N.L,SRP.mg.P.L,Nitrate_Nitrite.ug.N.L,DIN.ug.N.L,TP.mg.P.L,TN.ug.N.L,NP_ratio,DIC.mg.L,DIC.uM,DOC.mg.L,DOC.uM,pCO2,logCO2,CO2.uM,CO2.uM.error,pCH4,logCH4,CH4.uM,CH4.uM.error,pN2O,logN2O,N2O.nM,N2O.nM.error,logCO2uM,logCH4uM,logN2OnM,d15N_bulk_POM,d13C_bulk_POM,ugN_bulk_POM,ugC_bulk_POM,PercentN_bulk_POM,PercentC_bulk_POM,C_N_POM,d2H,d18O,EtoI,Water Source,Residence_Time,General Comments,Water_class,Landuse,Age.years,TA_DIC.umol,TA_CO2.umol,b.f.max,b.f.min,Rn.dpm.L,elevation.m,Area.m2,MC.ug.L,Chla.2017
66B,,66B43217,April,27-Apr-18,117,1.00,10:00,50.13192,-103.84162,8.8,0,4.6,"JW, B",0.63,1.7,1.7,81.7,0,0,6.7,76.2,9.27,855,0.66,8.21,3.1,63.7,8.45,776,0.67,8.21,451.3931647,713.3,5.280760469,2.611381044,0.12,120,0.02,12.85,132.85,0.05,1610,80.500,47.312,3939.383847,25.995,2164.446295,1215.560627,3.084776625,68.49117613,0.679677935,30.48297876,1.484057404,0.060199491,0.001779978,0.305444021,-0.515068372,12.95641285,0.265475142,1.835634624,-1.220407181,1.112484778,2.633854,-27.57020364,28.70358747,172.9123669,0.478393125,2.881872782,7.028079501,-121.7,-15.64,0.004865218,intermediate,,"completely ice free, some sardine size fish in dugout, surface water is brown in colour, no tree cover, sheltered mounds on two sides, spring melt had water running through",,,,,,0.000882362,-0.000278219,#N/A,606,1000,0.109063598,33.67624104
66C,,66C43217,April,27-Apr-18,117,1.00,11:30,50.13223,-103.856,10.8,0,8.1,"JW, B",0.61,3.5,3.5,92.7,0,0,7.6,79.7,9.7,172.2,0.12,7.9,3.8,39.9,5.22,377.9,0.24,7.69,87.56444682,713.1,44.06439543,33.48628773,0.17,170,0.26,66.87,236.87,0.29,1380,5.308,17.39,1447.960033,18.406,1532.556203,1192.624306,3.076503656,65.23673068,3.568869292,48.54617987,1.686155061,0.093920372,0.004136163,0.365566134,-0.437034045,15.03816636,0.177127267,1.814492188,-1.027240195,1.177194885,3.233558027,-31.41498411,53.31115529,284.045944,0.888519255,4.734099067,6.216089914,-122.9,-15.27,0.046658917,intermediate,,"almost entirely ice free (1/4 meter ice piece left), water brown in colour, dugout full, pump at bottom that is solar power, filled wti hwater from slough as was low (~1 week ago)",,,,,,0.000978253,-3.42E-06,#N/A,608,1350,0.138061006,25.94867013
32A,,32A43221,April,1-May-18,121,1.00,13:20,50.43912,-103.67136,15,30,,"SE, JW",0.56,2.6,2.5,92.9,0,0,11.6,68.3,7.29,1400,0.71,8.01,2.7,1,0.13,4509,2.66,8.09,760.7498513,704.7,8.950527667,13.58572733,0.73,730,0.62,525.43,1255.43,0.7,3550,5.726,41.663,3469.025812,26.023,2166.777685,1891.670823,3.276845565,88.86472384,0.431066756,298.2152152,2.474529798,0.513153477,0.008145059,0.406544109,-0.390892328,14.24302247,0.381066121,1.948729396,-0.289752724,1.15360216,-2.626435967,-36.8584546,53.33697599,259.6501209,0.8889496,4.327502015,5.679458489,-102.4,-11.64,0.148746079,rain,,"dark water, direct cattle but not at time of sampling, crop in adjacent paddock, rocky, small amount of dead macrophytes, slight breeze",,,,,,0.006346785,-0.000255505,#N/A,609,650,0.047194747,106.270756
32B,,32B43221,April,1-May-18,121,1.00,10:00,50.44346,-103.65918,9,0,2.1,"SE, JW",0.34,2.4,2.4,101.7,0,0,7.5,127.9,15.29,1319,0.66,9.02,2.8,1.3,0.17,3649,1.97,7.71,714.7137087,703.78,211.1967117,182.6023592,0.13,130,1.22,384.09,514.09,1.31,2410,1.975,40.772,3394.837635,21.282,1772.023314,212.6011437,2.327565597,11.48669837,0.526993787,1022.202956,3.009537132,1.94972766,0.027480287,0.692542522,-0.159553556,28.12380785,0.823307045,1.060195217,0.289973953,1.449074122,13.51063552,-32.99084875,87.21520561,392.5836704,1.45358676,6.543061173,5.251541619,-99,-11.04,0.169452278,rain,,"small, not used for cattle anymore, gets little bit of spring runoff, calm day, dead wetland vege, swampy area otherwise",,,,,,0.000848903,-0.000205688,#N/A,624,800,0.167507078,5.16767144
32C,,32C43221,April,1-May-18,121,1.00,11:50,50.44168,-103.67525,14,0,,"SE, JW",0.52,2.5,2.3,90.7,0,0,7.3,148,17.53,1567,0.79,8.99,3.3,1.2,0.15,7805,4.28,7.84,855.7280101,705.2,209.5752736,173.3501424,0.12,120,0.32,248.76,368.76,0.36,1790,5.594,29.199,2431.22398,17,1415.487094,179.057366,2.252992192,9.756542972,0.563751117,118.1513393,2.072438649,0.226811974,0.005038893,0.412475496,-0.384601847,16.8963736,0.45680605,0.989295962,-0.644334023,1.227793504,10.92152779,-30.85608527,85.52231559,368.1475285,1.425371926,6.135792142,5.02214477,-103.1,-11.95,0.12362655,rain,,"kestrel not working (very calm, slight breeze), dead fish (small) around shore, very green, direct cattle, no niparian, rocky",,,,,,0.000929703,-2.61E-05,#N/A,609,600,0.119397684,96.57556422
61B,,61B43223,April,3-May-18,123,1.00,18:45,50.23994,-105.9978,18.4,10,17.4,"SE, AK, J",0.66,0.9,0.75,94.3,0,0,14,91.6,9.3,1684,1.1,8.21,13.9,86.9,9.06,1700,1.11,8.16,922.3209798,698.5,18.97124338,15.60921653,0.03,30,0.00912,363.8,393.8,0.02,1610,176.535,24.098,2006.494588,16.333,1359.950042,697.9860063,2.843846716,29.99032905,4.181887519,27.04925825,1.43215536,0.043477441,0.013726272,0.413787126,-0.383223026,13.19763131,0.990220766,1.476981231,-1.36173603,1.120495992,5.408326091,-25.56709045,66.9046111,530.9600638,1.115076852,8.849334396,9.258755077,-101.9,-9.98,0.358828035,intermediate,,"sampled from shore, rocky, hilly pasture land surrounding",,,,,,0.000542294,0,#N/A,716,1150,0.102295282,2.38577762
61C,,61C43223,April,3-May-18,123,1.00,16:00,50.25332,-106.07288,20.2,40,13.4,"SE, AK, J",0.39,0.75,0.75,0.75,0,0,12.1,144.3,15.35,333.4,0.21,9.58,12.1,142.4,15.28,333,0.21,9.57,171.3168787,696.4,63.96192356,63.96192356,0.1,100,0.12,17.24,117.24,0.16,1850,15.417,34.909,2906.661116,21.224,1767.194005,109.4455829,2.039198239,5.009573138,0.528665556,81.94386455,1.913516442,0.138126689,0.001509965,0.385767136,-0.413674773,13.16561087,0.321101476,0.699800722,-0.859722399,1.119441015,8.450465335,-25.07682994,45.01008168,291.5100986,0.750168028,4.858501644,7.555976403,-114.1,-12.79,0.17983358,intermediate,,"connected to slough, sampled from shore, community pasture",,,,,,0,0,#N/A,725,1050,0.105358843,59.8352718
62B,,62B43223,April,3-May-18,123,1.00,11:04,50.34252,-106.50837,15.8,0,18.2,"SE, AK, J",0.38,0.9,0.9,96.1,0,0,12.5,108.1,11.45,667,1.43,9.41,11.6,106.1,11.6,642,0.43,9.42,346.3990884,6999.4,91.54801187,81.4227513,0.08,80,0.06,8.76,88.76,0.1,1900,31.667,53.994,4495.753539,25.07,2087.427144,164.065475,2.2150172,7.404420865,0.335252209,228.0473114,2.358024956,0.379613906,0.00203241,0.312058159,-0.505764459,10.47650162,0.196006713,0.869491096,-0.420657887,1.020216284,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-134,-15.51,0.156706204,snow,,"sampled from shore (high winds), pasture land (no cattle present), connected to ditch, no riparian veg surrounding",,,,,,0.001591667,0.000432267,#N/A,687,1400,0.056826994,40.48132025
62C,,62C43223,April,3-May-18,123,1.00,12:30,50.31711,-106.50468,17.7,0,12.2,"SE, AK, J",0.41,0.75,0.75,96.3,0,0,13.2,88,9.04,256.7,0.16,8.76,13.1,86.2,8.94,255.9,0.16,8.77,131.3087757,699.7,37.66123978,31.09308113,0.05,50,0.52,9.36,59.36,0.6,1580,3.038,36.935,3075.353872,24.494,2039.467111,389.1766071,2.590146728,17.26802368,0.635317308,137.9302068,2.139659387,0.227647296,0.013821375,0.308839681,-0.510266905,10.19854098,0.255516589,1.237242636,-0.642737504,1.008538045,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-138.9,-17.19,0.057252523,snow,,"sampled from shore (very windy), dark tea colour water, appears to have pump into a trough (may not be in use anymore), not much surrounding veg (pasture land)",,,,,,0.000251938,0,#N/A,690,780,0.063586682,3.5316949
62E,,62E43223,April,3-May-18,123,1.00,13:30,50.31048,-106.42418,18.8,0,14.3,"SE, AK, J",0.53,0.8,0.8,92.3,0,0,13.1,128.4,13.38,1784,1.19,9.57,13.4,127,13.52,1794,1.19,9.65,979.2715566,698.4,13.55430819,13.22902151,0.14,140,0.53,4,144,0.6,2960,5.585,34.146,2843.130724,34.187,2846.544546,59.20784751,1.772379273,2.617526692,0.14511467,37.56050537,1.574731427,0.061605166,0.000617386,0.816536279,-0.088024514,26.83380207,0.760908845,0.417891119,-1.21038287,1.428682212,19.9802199,-25.73911888,31.3694041,279.1109536,0.522823402,4.651849227,10.38047917,-113.3,-11.7,0.309275443,intermediate,,"pasture land surrounding, sampled from shore, 15m from ""normal"" shore to current water line, mats of algae, dead cattails on far shore",,,,,,-0.000251935,-0.001022251,#N/A,704,700,0.214800836,11.6997516
