Site_ID,Site_name,Sorting,Month,Date,DOY,Week,Time,latitude,longitude,Air_temp,Cloud (%),Wind_km.hr,Field_team,Secchi.m,Depth.m,Max_depth.m,DO Calibration%,Sample_depth,Depth_grouped,Surface_Temp,Surface_DO.sat,Surface_DO.mg.L,Surface_Cond,Surface_Sal.ppt,Surface_pH,Deep_Temp,Deep_DO.sat,Deep_DO.mg.L,Deep_Cond,Deep_Sal.ppt,Deep_pH,TDS.mg.L,YSI_atm,Chl_total,Chla,NH3.mg.N.L,NH3.ug.N.L,SRP.mg.P.L,Nitrate_Nitrite.ug.N.L,DIN.ug.N.L,TP.mg.P.L,TN.ug.N.L,NP_ratio,DIC.mg.L,DIC.uM,DOC.mg.L,DOC.uM,pCO2,logCO2,CO2.uM,CO2.uM.error,pCH4,logCH4,CH4.uM,CH4.uM.error,pN2O,logN2O,N2O.nM,N2O.nM.error,logCO2uM,logCH4uM,logN2OnM,d15N_bulk_POM,d13C_bulk_POM,ugN_bulk_POM,ugC_bulk_POM,PercentN_bulk_POM,PercentC_bulk_POM,C_N_POM,d2H,d18O,EtoI,Water Source,Residence_Time,General Comments,Water_class,Landuse,Age.years,TA_DIC.umol,TA_CO2.umol,b.f.max,b.f.min,Rn.dpm.L,elevation.m,Area.m2,MC.ug.L,Chla.2017
4A,,4A43234,May,14-May-18,134,3.00,15:30,50.33812,-104.48416,24.6,0,2.5,"SE, AK",0.41,2.2,2.2,96.1,0,0,18.5,128.3,12.24,207.3,0.11,9.36,6,2,0.21,209.7,0.15,7.25,105.6855283,712.1,83.99438663,76.46945844,0.19,190,0.04,49.1,239.1,0.06,1700,42.500,24.708,2057.285595,16.779,1397.085762,293.1577364,2.46710136,11.22688082,2.494092664,111.9047685,2.048848593,0.167273434,0.136293009,0.31991716,-0.494962464,9.037727775,0.777541283,1.050259112,-0.776573026,0.956059256,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-99.9,-10.25,0.289952011,rain,,lots of floating plant matter,,,,,,0.008664727,0.002358385,#N/A,577,410,0.08309011,48.25065377
66A,,66A43234,May,14-May-18,134,3.00,13:15,50.12533,-103.86,24.3,0,2.8,"SE, AK",0.89,2,1.75,99.2,0,0,14.6,78.9,8.08,593,0.37,8.74,8.3,37.2,4.34,707,0.52,8.41,307.6281788,710.5,13.70732058,8.91562902,0.06,60,0.07,10.76,70.76,0.1,1090,15.571,24.23,2017.485429,15.224,1267.610325,235.40515,2.37181596,10.14033494,0.392776051,14.26759325,1.15435072,0.023152753,0.000452628,0.31801518,-0.497552149,10.15684896,0.151616302,1.0060523,-1.635397367,1.006758994,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-116.8,-14.03,0.088253982,intermediate,,"sampled from edge (canoe anchored to shore), large ice sheet rose up from the bottom about 10 minutes before sampling (~20mx10m - see picture)",,,,,,0.008800254,0.001127165,#N/A,606,570,0.077686556,29.9486789
66B,,66B43234,May,14-May-18,134,3.00,11:30,50.13191,-103.84151,21.5,0,13.5,"SE, AK",0.53,1.6,1,88.3,0,0,14.4,96.5,9.62,1841,1.19,8.7,13.7,90.5,9.27,1813,1.19,8.66,1011.74719,710.6,22.18887776,15.21268794,0.07,70,0.00751,7,77,0.04,1860,247.670,64.131,5339.800167,29.08,2421.31557,469.2587823,2.671412409,20.22002146,0.218125708,44.58881709,1.649225951,0.072096804,0.000634852,0.322397336,-0.491608556,10.31529627,0.017257542,1.305781612,-1.142083984,1.013481706,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-111.5,-12.72,0.155730527,intermediate,,"murky, brown water, pasture land (bison) not currently in use",,,,,,0.001634016,0.000280612,#N/A,606,1000,#N/A,33.67624104
66C,,66C43234,May,14-May-18,134,3.00,10:30,50.23981,-105.99783,18.7,0,10.5,"SE, AK",0.57,3.2,3.2,3,0,0,14.1,61.3,6.43,246.4,0.15,7.98,7.7,1.2,0.15,232.7,0.17,7.28,125.9557487,710.7,25.51343144,19.39446811,0.04,40,0.15,33.53,73.53,0.19,1210,8.067,#N/A,#N/A,#N/A,#N/A,1893.245304,3.277206888,82.93633235,0.477412875,268.7202238,2.429300353,0.441543633,0.005363692,0.288636119,-0.539649323,9.390113607,0.217469927,1.918744826,-0.355026373,0.972670847,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-118.8,-14.15,0.101447598,intermediate,,"dark, tea coloured water",,,,,,0.005115081,0.000247077,#N/A,608,1350,0.080109582,25.94867013
61B,,61B43235,May,15-May-18,135,3.00,11:30,50.24012,-105.99752,27.3,0,24.4,"AK, RR",0.36,0.8,0.75,99,0,0,16.5,86.8,7.55,2682,,7.93,16.3,74.1,7.15,2679,,7.96,1492.065757,696.2,7.0129905,7.615088833,0.14,140,0.00769,50.29,190.29,0.02,1470,191.157,29.373,2445.711907,17.765,1479.184013,1283.331159,3.108338739,51.06805215,0.446422621,53.20321978,1.725937916,0.081155771,0.003957476,0.417072254,-0.379788701,12.28765601,0.04392952,1.708149293,-1.09068059,1.089469045,6.743307414,-21.11052968,30.25335238,365.6669061,0.50422254,6.094448436,14.10129314,-97.4,-9.07,0.421730231,intermediate,,"2nd YSI used - did not have value for sal (ppt), sampled from shore",,,,,,0.000655488,0,#N/A,716,1150,0.08123896,2.38577762
61C,,61C43235,May,15-May-18,135,3.00,14:30,50.23971,-106.12102,29.8,0,19.3,"AK, RR",0.24,0.9,0.9,0.75,0,0,17.6,92.1,8.6,1057,,8.19,17.3,84.3,7.89,1051,,8.19,565.9461151,695.6,16.5557666,10.8250624,0.03,30,0.00404,4.49,34.49,0.05,2010,497.525,32.276,2687.427144,28.669,2387.094088,924.2572354,2.965792859,35.52941112,0.600275501,198.0264592,2.296723222,0.29472053,0.003061383,0.32472735,-0.488481132,9.226247064,0.219028015,1.550588009,-0.530589611,0.96502508,5.787075468,-27.13550764,33.56162346,237.2535802,0.559360391,3.954226337,8.247391369,-117.2,-13.3,0.166369324,intermediate,,"2nd YSI used - did not have value for sal (ppt), sampled from shore",,,,,,0.001053128,0,#N/A,725,1050,0.08391997,59.8352718
62B,,62B43235,May,15-May-18,135,3.00,10:50,50.33087,-106.50793,28.6,0,21,"SE, WB",0.39,1.8,2,93,0,0,15.4,77.3,7.73,823,0.5,9.07,11.9,12.7,1.47,772,0.52,8.8,433.2578269,696.6,15.53000587,13.39594463,0.09,90,0.09,5.6,95.6,0.15,1950,21.667,57.48,4786.011657,24.345,2027.060783,268.661539,2.429205498,11.05693402,0.393304577,129.7340527,2.113053985,0.202562411,0.001527404,0.338654535,-0.470243104,10.31780945,0.247056493,1.043634718,-0.693441142,1.013587503,6.356093481,-24.28332608,66.50904815,535.8853516,1.108484136,8.931422527,9.400218381,-123.2,-14.73,0.097573723,intermediate,,"pasture land surrounding, no cattle currently, water connecting to ditch water by road",,,,,,0.008927211,0,#N/A,687,1400,0.082433646,40.48132025
62C,,62C43235,May,15-May-18,135,3.00,12:15,50.31702,-106.50481,29.5,1,15,"SE, WB",0.31,1.5,2,72.5,0,0,15.6,92.2,9.07,313.5,0.18,8.58,9.8,1.6,0.17,277.9,0.19,7.84,160.9144498,696.3,42.43465607,41.40995423,0.07,70,0.52,9.08,79.08,0.57,1730,3.327,41.246,3434.304746,25.092,2089.258951,443.6883469,2.647078023,18.15721753,0.380733114,862.3866524,2.935702026,1.341799664,0.025509176,0.326703552,-0.485846144,9.903350413,0.044042023,1.259049297,0.127687679,0.995782146,5.951446277,-29.49587493,114.771315,787.8404141,1.912855249,13.13067357,8.008509357,-135,-16.45,0.07796911,snow,,"pasture land surrounding, currently horses in pasture",,,,,,0.009490408,0.000308473,#N/A,690,780,0.086298108,3.5316949
62E,,62E43235,May,15-May-18,135,3.00,13:45,50.31962,-106.42397,29.8,40,17.9,"SE, WB",1.77,2.2,2.25,102,0,0,16.5,81.1,7.87,2236,1.39,8.91,8.4,0.9,0.1,5748,4.61,7.84,1237.072461,695,1.9021938,0.241084367,0.2,200,0.62,30.97,230.97,0.69,3550,5.726,45.922,3823.646961,39.733,3308.326395,268.2520028,2.428542973,10.55818164,0.904035656,55.56886374,1.744831516,0.083578253,0.008644259,0.495890987,-0.304613785,14.46184398,0.556336441,1.023589129,-1.077906712,1.160223672,17.41867959,-26.90917154,62.39659341,415.4021975,1.039943224,6.923369958,7.767024938,-109.3,-10.6,0.408250096,intermediate,,"pature area, swampy edges, no cattle, water very clear, lots of zoop in 1 tow",,,,,,0.01367138,0,#N/A,704,700,1.033297538,11.6997516
4C,,4C43236,May,16-May-18,136,3.00,14:00,50.33759,-104.50432,26.8,0,15.6,"SE, WB",0.41,1.2,1,89.9,0,0,17.3,104.4,9.99,278.2,0.16,8.77,17.2,100.3,9.58,276.4,0.16,8.76,142.4988185,708.7,19.93939328,15.7827883,0.03,30,0.01,6.96,36.96,0.02,1120,112.000,35.118,2924.063281,14.785,1231.057452,307.6524677,2.488060403,12.15832448,0.397139139,1038.312917,3.016328257,1.584298506,0.031617903,0.31028595,-0.508237889,9.059771362,0.21141865,1.084873729,0.199837013,0.957117238,3.991872134,-24.41390358,39.50648666,207.3824091,0.658441444,3.456373484,6.124213119,-88.1,-7.89,0.457338791,rain,,"water looks blue/green and murky, house on one side, crop land on other",,,,,,0.000346643,0,#N/A,577,3000,0.106714565,31.76049365
4D,,4D43236,May,16-May-18,136,3.00,15:08,50.35229,-104.57446,29.4,0,3.7,"SE, WB",0.57,1.9,1.75,100,0,0,19.4,135.9,12.45,167.2,0.09,9.66,12.3,5,0.55,192.1,0.12,7.6,84.98943754,708.8,59.46788529,54.24237007,0.19,190,0.02,8.93,198.93,0.04,1420,71.000,20.481,1705.328893,13.003,1082.681099,63.42701164,1.80227425,2.353929663,0.434403176,1341.712316,3.127659406,1.959478269,0.017229915,0.317900047,-0.497709408,8.692600945,0.286062545,0.371793482,0.292140451,0.939149743,9.956747568,-16.81700077,49.1163274,223.2108086,0.818605457,3.720180143,5.301956067,-98,-9.85,0.315513515,rain,,"crop land surrounding, abandoned barn near by",,,,,,0.01011402,0.002319543,#N/A,573,575,0.105937745,27.44330157
56A,,56A43236,May,16-May-18,136,3.00,11:25,49.98368,-105.28643,23.6,0,13.6,"SE, WB",0.41,3,2.75,90.5,0,0,16,96.8,9.34,2147,1.35,8.73,1.7,7.7,1.02,6146,6.17,7.94,1186.261106,697.5,15.12386414,9.09793596,0.04,40,0.12,11.32,51.32,0.14,1620,13.500,36.096,3005.49542,22.086,1838.967527,290.814245,2.463615676,11.67276166,0.261509784,5.141875495,0.711121556,0.007852448,0.000797198,0.380799383,-0.419303764,11.33100599,0.123458392,1.067173618,-2.104994918,1.054268469,6.925505062,-33.96389621,47.94778384,393.7597623,0.799129731,6.562662705,9.580972311,#N/A,#N/A,#N/A,#N/A,,"direct cattle use at time of sampling, lots of zoop in one tow",,,,,,0.01368796,-0.000540576,#N/A,708,610,0.077720532,3.49429128
56B,,56B43236,May,16-May-18,136,3.00,10:15,49.98285,-105.30256,21.7,1,18.2,"SE, WB",0.76,2.9,2.7,84.9,0,0,15.2,88.9,8.87,2426,1.57,8.61,5.1,1,0.12,8274,7.65,7.78,1345.627444,698,21.77433629,15.74652429,0.06,60,0.36,6.06,66.06,0.42,2340,6.500,56.128,4673.438801,31.822,2649.625312,481.6651895,2.68274526,19.77589223,1.423270733,16.35985419,1.213779429,0.025345137,0.013553688,0.306586151,-0.513447467,9.360109255,0.324416998,1.296136087,-1.596105352,0.971280918,5.476829989,-31.11017278,64.57024786,479.4034773,1.076170798,7.990057955,8.661946877,-125,-14.31,0.164690575,intermediate,,"pasture land surrounding, no cattle currently",,,,,,0.015328234,0,#N/A,702,13500,0.093223129,46.78629513
23A,,23A43237,May,17-May-18,137,3.00,9:15,50.48967,-104.50198,12.6,100,8,"AK, RR",0.24,0.8,0.75,96.7,0,0,12.6,93.6,9.67,151.5,0.09,9.41,13.7,86.3,8.84,151.3,0.09,9.42,76.91479479,709.4,76.11872137,65.93288888,0.04,40,0.00913,5.94,45.94,0.04,930.53,101.920,21.191,1764.446295,11.377,947.2939217,91.25643277,1.960263488,4.189626787,0.584692896,3034.644416,3.48210781,5.155660365,0.051229084,0.268614508,-0.570870535,9.184746652,0.322973642,0.622175338,0.7122843,0.963067181,5.050266856,-21.275367,62.80340768,489.909085,1.046723461,8.165151416,9.100789595,#N/A,#N/A,#N/A,#N/A,,"sampled from shore, GHG tubing broke later in day",,,,,,0,-0.002770777,#N/A,600,1875,0.084931395,#N/A
32C,,32C43237,May,17-May-18,137,3.00,11:30,50.44161,-103.67532,15.3,100,23.4,"AK, RR",0.37,2.1,2,93.8,0,0,13.4,75.3,7.81,1668,1.1,8.6,13.3,75.9,7.83,1671,1.24,8.43,913.2117524,709.2,50.21326022,18.55967033,0.06,60,0.25,4.16,64.16,0.33,1790,7.160,43.126,3590.840966,21.624,1800.499584,414.5447013,2.617571368,18.42790109,0.567437886,63.76318302,1.804569989,0.105441741,0.05932495,0.314745535,-0.502040423,10.4021105,0.28968783,1.265475873,-0.976987431,1.017121463,7.727377105,-28.22239472,58.54094444,241.6180143,0.975682407,4.026966905,4.815222679,-100.4,-10.45,0.27760271,rain,,"very windy, recent rain, had to repeat 2nd shakey bottle 5 times (cold temp made cork shrink and eventually broke)",,,,,,0.000256776,0,#N/A,609,600,0.064459731,96.57556422
14A,,14A43238,May,18-May-18,138,3.00,10:45,51.04642,-104.65146,14.8,0,7.9,"AK, RR",0.55,2.6,2,110,0,0,11.3,68.6,7.37,2417,1.73,8.92,11.2,63.8,6.95,2413,1.73,8.91,1340.48287,719.6,75.339048,62.6603405,0.24,240,1.77,9.02,249.02,1.9,3550,2.006,56.928,4740.049958,38.182,3179.184013,222.4807888,2.347292516,10.6587547,0.538837286,47.33116751,1.675147217,0.082516861,0.001406009,0.272986547,-0.563858756,9.806671685,0.305508616,1.027706467,-1.0834573,0.991521636,6.567721764,-32.9642911,51.57168406,279.9535885,0.859528068,4.665893142,6.333175383,-107.1,-10.83,0.351686192,intermediate,,looks to be connected to a slough,,,,,,0.00020475,0,#N/A,548,1000,0.070366212,13.13894297
14B,,14B43238,May,18-May-18,138,3.00,12:15,50.99501,-104.68562,20.5,60,4.1,"AK, RR",1.3,3,2.5,71.1,0,0,14.4,88.2,8.98,769,0.48,8.33,4.7,2.5,0.3,1177,0.98,7.74,402.6616863,718.4,6.953784422,4.362215833,0.07,70,0.28,10.13,80.13,0.33,1990,7.107,41.531,3458.034971,24.814,2066.111574,815.0269583,2.911171974,35.70936274,0.198259375,84.31201106,1.925889448,0.138887721,0.002277555,0.30445778,-0.516472923,9.891405139,0.017186517,1.5527821,-0.857336148,0.99525799,5.29906539,-30.21966689,30.8622606,194.7657954,0.51437101,3.246096589,7.362609117,-106.3,-12.41,0.117134809,rain,,horses in pature with direct access to water,,,,,,0.008348398,0,#N/A,563,1450,0.105551458,3.003353625
68A,,68A43238,May,18-May-18,138,3.00,9:25,50.63361,-104.68494,12,0,6.9,"AK, RR, JW",0.55,0.55,0.5,91.7,0,0,10.6,69.4,7.73,403.5,0.27,7.91,10.3,68.6,7.66,399.4,0.27,7.88,208.0536526,716,8.251483127,2.50085744,0.58,580,0.04,104.64,684.64,0.08,2520,63.000,34.085,2838.051624,20.657,1719.983347,1697.450707,3.229797171,84.05077418,0.931091495,1460.101788,3.164383133,2.627311076,0.020513686,0.311240198,-0.506904317,11.5098404,0.291776023,1.924541718,0.419511497,1.061069302,4.27541413,-24.70505485,22.91670917,150.2892039,0.381945153,2.504820065,7.651072553,-113.5,-11.87,0.302907062,intermediate,,"very shallow, clear, green grass riparian, trees on one side",,,,,,0.000552537,0.000552537,#N/A,586,600,0.08823842,#N/A
32A,,32A43243,May,23-May-18,143,3.00,10:00,50.43921,-103.67125,26.6,90,2.8,"SE, RR",0.41,2.6,2.25,103.5,0,0,18.7,113.4,10.68,1623,0.95,8.88,6.8,1.5,0.18,3115,2.59,7.62,887.5962901,707.1,49.52989755,34.52024315,0.04,40,0.39,13.14,53.14,0.47,2230,5.718,52.526,4373.522065,29.976,2495.920067,265.2075367,2.423585862,9.983081122,0.327326236,83.34794768,1.92089491,0.122506985,0.00315704,0.305207857,-0.515404291,8.465276182,0.244642339,0.9992646,-0.911839149,0.927641132,5.164447983,-32.57590153,44.85066947,397.5631154,0.747511158,6.626051924,10.34150973,-57,-7.39,-0.003612038,rain,,"sheltered by mounds of dirt on two sides, some reeds/cattails on the two long sides of the dugout, GPS died so coordinates are from the master list of the 20 sites",,,,,,0.010804518,0.003673615,#N/A,609,650,0.094595315,106.270756
32B,,32B43243,May,23-May-18,143,3.00,11:00,50.44347,-103.65919,26.3,15,5.9,"SE, RR",0.78,1.6,1.5,88.7,0,0,20.3,129.4,11.64,1504,0.85,8.9,13,68.6,7.11,1274,0.84,8.57,819.887787,705.9,105.4050813,32.34703125,0.12,120,1.11,73.78,193.78,1.16,2180,1.964,52.508,4372.023314,23.323,1941.965029,258.9256452,2.413175067,9.289768514,0.115720785,77.87243468,1.891383753,0.110718104,0.004529106,0.312241553,-0.505509302,8.233525989,0.011593605,0.968004892,-0.955781361,0.915585861,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-86.5,-8.89,0.250091987,rain,,"entire dugout surrounded by riparian veg (both dead and alive), some floating plant matter, lots of zoop in one tow (1 water mite and 1 freshwater shrimp), farmer said water level is down about 1 m",,,,,,0.011142755,0.006041937,#N/A,624,800,0.099377302,5.16767144
23A,,23A43262,June,11-Jun-18,162,7.00,13:54,50.4921,-104.50244,20.3,20,2.3,"RR, AK",0.44,1.9,1.5,92.9,0,0,20.8,95.9,8.5,200,0.1,9.15,19.7,92.7,8.59,192.9,0.1,9.2,101.9105609,703,28.08635239,32.22990094,0.01,10,0.02,38.27,48.27,0.04,942.01,47.101,24.918,2074.771024,11.091,923.480433,109.7584621,2.040438013,3.878086838,0.515110714,639.7683823,2.806022773,0.900885194,0.020710644,0.25817416,-0.588087228,6.707444791,0.020050712,0.58861753,-0.045330551,0.826557107,2.715297262,-24.39554186,33.5071459,178.9061376,0.558452432,2.981768959,6.229233244,#N/A,#N/A,#N/A,#N/A,,"van dorn used instead of pump (taken every 0.5m), eggs and algae on thermistor, 2 small fish swimming around float, warmer than other dugouts sampled",,,,,,0.003260296,-0.000422934,#N/A,600,1875,#N/A,#N/A
4A,,4A43262,June,11-Jun-18,162,7.00,9.38,50.41559,-104.59258,22.8,0,5.3,"RR, AK",,2.3,2.5,102.6,0,0,18.8,75.8,7.03,234,0.13,8.26,13.1,1.7,0.16,252.2,0.16,7.08,119.5184343,705.8,23.26846404,19.58313206,0.03,30,0.08,124.95,154.95,0.11,1620,20.250,31.477,2620.899251,18.183,1513.988343,739.5236082,2.868952043,27.81928804,0.272459587,2467.722515,3.392296324,3.633179903,0.053645029,0.279783707,-0.55317758,7.759737673,0.032210769,1.444346011,0.560286903,0.88984704,6.455510234,-27.62723979,26.42128417,204.4386315,0.440354736,3.407310525,9.027257539,-87.8,-8.41,0.346389559,rain,,"Van dorn instead of pump (taken ever 0.5m), algae on thermistors",,,,,,0.010223845,0,#N/A,577,410,#N/A,48.25065377
4D,,4D43262,June,11-Jun-18,162,7.00,12:12,50.35251,-104.57001,21.2,0,17.9,"RR, AK",1.52,2,1.75,93.5,0,0,18.3,85.5,8.02,209.9,0.11,8.48,18.2,87.2,8.14,209.9,0.11,8.42,107.0307905,705.3,2.9073604,1.599500633,0.03,30,0.0051,174.39,204.39,0.03,1440,282.353,23.333,1942.797669,13.599,1132.306411,439.1708681,2.642633524,16.75833064,0.324913733,851.9156687,2.930396606,1.266567479,0.013908134,0.286243096,-0.54326498,8.059804621,0.100777274,1.224230755,0.102628333,0.906324514,6.661674511,-25.70132264,22.11588911,113.5373091,0.368598152,1.892288484,5.98936779,-82.9,-7.72,0.360234285,rain, ,"float came off thermistor chain, long green stringy plant matter in water,",,,,,,0.000368428,0,#N/A,573,575,#N/A,27.44330157
66A,,66A43263,June,12-Jun-18,163,7.00,12:20,50.12525,-103.86214,19.4,0,15.2,"SE, WB",1.12,2.9,3,95.5,0,0,17.8,46.9,4.46,1301,0.76,7.75,9.1,0.6,0.06,1179,0.85,7.58,704.4862171,704.5,3.295500004,2.056160265,0.14,140,0.12,9.23,149.23,0.16,2100,17.500,55.633,4632.223147,28.332,2359.034138,4563.50884,3.659298896,176.1129415,1.729904991,85.00790826,1.92945933,0.127123745,0.00087509,0.231878792,-0.63473897,6.599792987,0.043386818,2.245791271,-0.895773323,0.819530313,2.013034501,-34.29771928,32.5891991,166.7544904,0.543153318,2.779241507,5.969674337,-70.9,-8.3,0.076052962,rain,,"lots of little red invertebrates in zoop tows, dugout connected to ditch with water, mounds on both long sides, submersed pump in the middle, water is higher than previous sampling (thermistor chain being pulled down)",,,,,,0.006324985,0.000355414,#N/A,606,570,0.093089355,29.9486789
66C,,66C43263,June,12-Jun-18,163,7.00,9:56,50.13323,-103.85588,21.3,0,17.2,"SE, WB",0.57,3.3,3.5,89.3,0,0,17.2,75.2,7.21,309.4,0.17,8.13,10.1,0.5,0.07,297.6,0.2,6.87,158.7729972,704.1,79.8878481,74.81552098,0.07,70,0.04,6.89,76.89,0.07,1150,28.750,30.104,2506.577852,17.531,1459.70025,956.9914541,2.98090806,37.68888508,0.066654103,440.3588627,2.643806741,0.668978599,0.001285664,0.243860234,-0.612859013,7.096347245,0.040706912,1.57621329,-0.174587776,0.851034859,0.75880171,-34.67605725,68.75276216,396.1861844,1.145879369,6.603103074,6.722889388,-103.6,-12.05,0.118875352,rain,,"two large dirt mounds on long sides of dugout, steep sides, bison pasture surrounding with no bison currently in it",,,,,,0.008693836,0.000340013,#N/A,608,1350,1.356496506,25.94867013
4A,,4A43290,July,9-Jul-18,190,11.00,14:24,50.34101,-104.48717,27.4,10,11.8,"SE, AK",0.35,2.2,2,95.2,0,0,24.9,121,10.06,258.3,0.12,8.89,18.1,1,0.1,272.6,0.15,7.21,132.140779,714.1,27.00210734,24.09115043,0.06,60,0.04,14.57,74.57,0.07,1560,39.000,29.034,2417.485429,18.048,1502.74771,138.3488364,2.140975511,4.427100637,0.05052918,1523.586073,3.182866994,2.016584152,0.019626586,0.26644474,-0.574392849,6.235677429,0.028586945,0.646119395,0.30461635,0.794883641,5.715115651,-23.63604993,37.97294349,387.1955285,0.632882391,6.453258808,11.89605216,-81.1,-6.82,0.506720694,rain,,,,,,,,0.012266729,0.001498819,#N/A,577,410,0.101579512,48.25065377
66A,,66A43290,July,9-Jul-18,190,11.00,,50.12812,-103.86219,27.3,0,2.4,"SE, AK",0.2,2.7,2.45,92.7,0,0,24.8,180.5,14.79,1695,0.85,8.9,10.3,0.7,0.07,1294,0.92,7.35,928.5840322,713.5,86.53363584,82.66052996,0.05,50,0.01,67.97,117.97,0.06,2500,250.000,64.694,5386.677769,33.258,2769.19234,527.0978437,2.72189124,16.84509579,0.099814472,385.3871908,2.585897276,0.508383377,0.006624292,0.214200948,-0.669178612,5.001708033,0.020535017,1.226473485,-0.293808659,0.699118337,-0.757671886,-30.7430305,61.50043763,357.9807807,1.025007294,5.966346344,6.790914995,-95,-11.08,0.105894618,rain,,thick algae,,,,,,0.013710109,0.005894764,#N/A,606,570,0.069599275,29.9486789
66B,,66B43290,July,9-Jul-18,190,11.00,9:50,51.04916,-104.65126,23.9,20,10.2,"SE, AK",0.81,3.3,3,108.2,0,0,21.8,78.3,6.68,1734,0.94,9.06,9.3,1,0.15,3135,2.48,7.33,950.7924102,714.4,16.21339878,13.54618669,0.08,80,0.01,7.12,87.12,0.03,2070,207.000,48.717,4056.369692,30.198,2514.404663,192.349703,2.28409152,6.68439307,0.816355329,366.0408274,2.563529528,0.510850642,0.047869963,0.258699548,-0.587204331,6.595261539,0.018751585,0.82506198,-0.291706056,0.819232022,2.20367715,-28.57726388,36.60691879,199.9273149,0.610115313,3.332121915,6.371706273,-59.8,-6.65,0.1009875,rain,,"fish fry near canoe, thick macrophytes around edges",,,,,,0.013529523,0.000441148,5.773685669,606,1000,0.076581918,33.67624104
66C,,66C43290,July,9-Jul-18,190,11.00,11:00,50.13615,-103.85575,25.2,0,8.5,"SE, AK",0.77,3,2.5,91.8,0,0,23.6,103.6,8.72,363.5,0.18,8.93,11.7,0.9,0.1,321.7,0.21,6.84,187.0754183,713.9,37.84636394,32.76940136,0.08,80,0.00928,6.62,86.62,0.03,1260,135.776,29.869,2487.010824,17.235,1435.054122,154.7540916,2.18964214,5.129551925,0.371210005,1566.209383,3.194849822,2.122070818,0.014404058,0.238612703,-0.62230644,5.792144139,0.010717156,0.71007943,0.326759873,0.762839361,1.691859218,-28.10640029,33.61473907,283.1680515,0.560245651,4.719467525,9.827912869,-94.6,-10.1,0.218215281,rain,,fish fry near canoe,,,,,,0.019677765,0.000476612,#N/A,608,1350,0.100289027,25.94867013
61B,,61B43291,July,10-Jul-18,191,11.00,10:30,50.24009,-105.9979,22.5,100,5.8,"AK, RR",0.46,2.2,2,75.3,0,0,22.4,78.6,6.57,4638,2.48,7.88,21.5,22.2,1.93,4683,2.48,7.51,2617.507178,,2.710097491,2.527757979,0.54,540,0.02,205.55,745.55,0.02,2650,132.500,27.982,2329.891757,25.207,2098.834305,1260.613465,3.100581942,41.05854817,1.453089277,148.5299625,2.171814071,0.19369441,0.011034628,0.613836901,-0.211947008,14.87658924,0.051802829,1.613403589,-0.712882913,1.172503372,3.013015258,-19.28398853,30.13770911,243.4075495,0.502295152,4.056792491,9.422596565,-75.5,-5.99,0.499945238,rain,,Cond values are actually SPC values,,,,,,0.00266502,0,#N/A,716,1150,0.089976512,2.38577762
61C,,61C43291,July,10-Jul-18,191,11.00,12:37,50.2535,-106.0724,25.2,0,7.1,"AK, RR",0.48,2.5,1.5,109.4,0,0,22.4,149.9,13.04,488.4,0.24,10.14,19.7,2.9,0.27,524,0.26,8.71,252.6634874,697.6,133.5215839,137.3536454,0.15,150,0.00466,7.65,157.65,0.04,2110,452.790,20.136,1676.602831,21.848,1819.150708,92.13828361,1.964440118,3.085632848,0.74286696,639.2848529,2.805694414,0.865623819,0.050648376,0.273054975,-0.563749906,6.70541223,0.14078263,0.489344249,-0.062670802,0.826425482,-0.182058047,-16.4319183,127.6675142,795.748753,2.127791904,13.26247922,7.271807169,-87.7,-8.17,0.366565594,rain,,Cond values are actually SPC values,,,,,,0.007521252,0.001353395,#N/A,725,1050,0.065879309,59.8352718
62B,,62B43291,July,10-Jul-18,191,11.00,10:48,50.33086,-106.50809,21.4,100,2.5,"SE, WB",0.68,1.3,1.5,83.6,0,0,21.5,34.1,2.95,1249,0.67,8.69,21.3,19.9,1.74,1248,0.67,8.61,674.9457763,701.2,10.3902535,14.389729,0.52,520,0.11,227.59,747.59,0.18,3340,30.364,88.757,7390.258118,28.402,2364.862614,646.8854958,2.810827414,22.2986287,1.151723996,1257.91609,3.099651672,1.737875162,0.273159402,0.316414328,-0.499743858,8.001520221,0.120211612,1.348278156,0.240018576,0.903172507,6.958370357,-14.76100486,30.78735396,424.1974894,0.513122566,7.069958156,16.07468676,-86.8,-8.02,0.371280126,rain,,"water lower than last time - no longer connected to water in the ditch, stormy weather",,,,,,0.000435116,0,2.308236273,687,1400,0.056338855,40.48132025
