Site_ID,Date,Time,Latitude,Longitude,Air_temp,Cloud_perc,Wind_km.hr,Field_team,Secchi_m,Depth_m,Max_depth_m,DO_calibration_perc,Surface_temp,Surface_DO_sat,Surface_DO_mg.L,Surface_cond,Surface_sal_ppt,Surface_pH,Deep_temp,Deep_DO_sat,Deep_DO_mg.L,Deep_cond,Deep_sal_ppt,Deep_pH,TDS_mg.L,YSI_atm,Core_length_cm,Sediment_depth,Bottle1_temp_in,Bottle1_temp_out,Bottle2_temp_in,Bottle2_temp_out,Tows,Floating_chamber,Chl_total,Chla,Surface_NH3_mg.N.L,Surface_SRP_mg.P.L,Surface_Nitrate_Nitrite_ug.N.L,Surface_TP_mg.P.L,Surface_TN_ug.N.L,Surface_DIC_mg.L,Surface_DIC_uM,Surface_DOC_mg.L,Surface_DOC_uM,Surface_DIN_ug.N.L,Surface_NP_ratio,Surface_TN_TP,Deep_NH3_mg.N.L,Deep_SRP_mg.P.L,Deep_Nitrate_Nitrite_ug.N.L,Deep_TP_mg.P.L,Deep_TN_ug.N.L,Deep_DIC_mg.L,Deep_DIC_uM,Deep_DOC_mg.L,Deep_DOC_uM,SO4_mg.L,Alk_mg.L,Chloride_mg.L,MC_ug.L,pCO2,CO2_uM,CO2_uM_error,pCH4,CH4_uM,CH4_uM_error,pN2O,N2O_nM,N2O_nM_error,d15N_bulk,d13C_bulk,mgN_bulk,mgC_bulk,PercentN_bulk,PercentC_bulk,Sediment_C_N,d15N_org,d13C_org,mgN_org,mgC_org,PercentN_org,PercentC_org,Sediment_C_N_org,d15N_bulk_POM,d13C_bulk_POM,ugN_bulk_POM,ugC_bulk_POM,PercentN_bulk_POM,PercentC_bulk_POM,C_N_POM,d2H,d18O,EtoI,Regime,Water_source,Residence_time,Water_class,d_excess,delI18O,delI2H,Inflow,Land_use,Age_years,B_F_max,B_F_min,Rn_dpm.L,Elevation_m,Area_m2,Perimeter_m,Volume_m3,SI,General_comments
70C,2017-08-15,10:45:00,50.39632,-109.11725,17.6,0,4.8,"J, JW",2.42,3.5,3.5,96.9,15.7,85,7.68,647,0.32,8.06,15.3,74.3,6.81,648,0.32,8,335.94,693.9,NA,13,16.1,17.5,NA,NA,2,N,5.9439017125,6.121801975,0.04,0.02,44.87,0.00866,417.54,65.716,5471.773522,4.59,382.1815154,84.87,20.877,48.2147806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302.53,NA,0.02,2182.150966,88.68499476,1.755000456,357.2964354,0.552524646,0.00185524,0.212698564,6.398707014,0.427059268,NA,-14.04713372,8.066287137,153.589285,0.172984927,3.29378694,22.21437151,3.65802352,-30.51417951,9.746715779,75.43973763,0.217076075,1.68017233,9.030018852,4.01,-32.95,38.44,208.51,0.64,3.48,6.33,-147.6,-18.46,0.044536215,open,snow,0.106260357,Pump,0.08,-19.69219841,-152.5576157,52.85327625,Grassland,NA,6.14659e-4,0,NA,713.2,1090,143,2831.5,1.221849897,Too deep to do sediment depth right in middle. Lake water pumped into dugout. Lots of pipes. Unique pine-like veg growing up from water edge. Very clear
70B,2017-08-15,09:08:00,50.39857,-109.08987,14.7,0,6.8,"J, JW",0.78,2.5,2.5,92.3,18.3,59.6,5.12,1258,0.73,8.83,14.3,0,0,1675,1.08,7.21,680.06,694.8,NA,40,18.6,18.4,NA,NA,2,Y,3.06218109,2.47972066,0.1,0.01,170.8,0.02,2090,106.363,8856.203164,24.442,2035.137386,270.8,209,104.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,356.93,491.44,NA,0.02,564.0710574,21.15187818,0.146890001,1546.220547,2.257138936,0.007935766,0.348323652,9.625828959,0.398671658,4.96053477,-10.76368545,24.09806405,634.8695943,0.478991534,12.61915314,30.7361285,4.520302513,-27.58174347,76.28853705,656.8730006,1.706678681,14.69514543,10.04543885,NA,NA,NA,NA,NA,NA,NA,-91.7,-8.36,0.3923065,open,rain,0.728987466,Livestock,-24.82,-14.58642889,-113.0389596,431.7419603,Grassland,NA,0.016284467,0,NA,707.5,1010,138,2045,1.224936195,Inlet on end of dugout has cattails. Outlet on other end. No cattails in dugout. sandy soil around dugout. pasture
65A,2017-08-11,11:50:00,52.55179,-103.89583,26.7,0,2.3,"R, C",2.02,4.3,4.5,99.8,21.8,109,9.01,242.8,0.12,8.22,12.1,0.5,0.05,364.1,0.23,6.75,124.09,714.8,NA,NA,22.4,22.5,NA,NA,5,N,11.9280465,8.3617439,0.01,0.03,336.84,0.02,1280,31.612,2632.139883,13.981,1164.113239,346.84,42.66666667,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,588.64,103,NA,NA,707.7662872,24.70791681,1.659692661,239.7836659,0.336639434,0.002351264,1.659257513,42.53001111,9.916179556,2.098909436,-21.677093,14.70275595,179.8344336,0.319416814,3.906896232,14.26989878,2.235869237,-30.63638151,15.60832858,130.7589199,0.360469482,3.019836488,9.773761008,2.34,-25.68,46.5,326.64,0.78,5.44,8.19,-100.2,-10.94,0.212622421,open,rain,0.676773797,NA,-12.68,-14.38683856,-111.4941305,204.2325007,Pasture-livestock,49,0.00756269,0.001238081,NA,667,1170,161,3057.386,1.32778578,Built 1968.
8E,2017-08-11,09:52:00,52.6333,-104.6604,24.5,0,1.1,"R, C",1.12,1.3,1.5,96.7,19.3,98.7,8.55,3244,0.25,8.39,17.8,2.5,0.21,628,0.36,7.14,1814.24,715.4,16,11,19.9,20.5,NA,NA,3,N,-21.5871061,8.9610816,0.28,0.08,748.68,0.28,5240,NA,NA,NA,NA,1028.6799999999998,65.5,18.71428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,537.8895944,20.20277344,1.043972545,1650.733333,2.437392924,0.006246873,0.217318024,6.010502835,0.049611448,2.848399975,-14.57867024,12.35587901,229.5789041,0.245594892,4.56328571,21.67729666,2.342554607,-27.60896898,14.28509261,129.8374732,0.259257579,2.356396973,10.6038551,NA,NA,NA,NA,NA,NA,NA,-85.7,-9.45,0.164927822,open,rain,0.232812834,NA,-10.1,-11.68646753,-90.59325867,27.13028565,Pasture-livestock,NA,0.002938893,0.001162925,NA,530,200,55,232.206,1.097091271,NA
8F,2017-08-11,08:24:00,52.627937,-104.715069,19.7,0,3,"R,C",NA,0.5,0.5,91.4,18.4,40.3,3.77,792,0.45,8.73,18.5,40.8,3.81,786,0.44,8.74,415.69,717.6,25,15,17.8,18.3,NA,NA,3,N,3007.1874995,2483.611981,0.03,0.02,89.22,0.04,1890,50.09,4170.691091,45.621,3798.584513,119.22,94.5,47.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208.89,NA,0.02,311.9533639,12.06426799,0.2003582,3519.535092,5.306297156,0.013137825,0.274434107,7.821311139,6.375773925,NA,-16.20656569,9.808018953,173.4877549,0.192201038,3.399720849,20.63641819,4.110553999,-25.64572557,7.335728753,77.15223317,0.153467129,1.614063455,12.27021087,0.23,-24.95,140.23,820.91,2.34,13.68,6.83,-84.2,-7.73,0.453722781,restricted,rain,NA,NA,-22.36,-12.46128684,-96.59036013,NA,Pasture-livestock,NA,3.7e-4,NA,NA,539,NA,NA,NA,NA,Water very silty with high turbidity
36A,2017-08-10,15:05:00,52.5244,-105.21877,27.1,10,1.2,"R, C",0.13,1.4,1.5,86.99,24.4,344,28.39,2056,1.06,9.21,14.4,0,0,2311,1.53,6.84,1134.33,715,15,102,17.7,19.1,NA,NA,3,N,121.90965925,150.7441308,0.16,0.03,83.7,0.1,3720,59.455,4950.457952,50.687,4220.399667,243.7,124,37.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1526.35,253.96,NA,0.02,799.4639812,25.83654012,0.355590464,4819.259405,6.40134046,0.018968386,0.080164372,1.894932088,0.055170855,NA,-17.38971108,5.84541008,106.1369619,0.122212212,2.219045828,21.18353613,5.256030505,-27.6189387,8.780276094,87.96577344,0.150605079,1.508846886,11.68832672,1.38,-32.22,95.98,498.02,1.6,8.305,6.055,-90.3,-9.78,0.197652657,open,rain,0.304187647,NA,-12.06,-12.62536511,-97.86032597,133.9480483,Grassland,30,0.026767256,0.005265553,NA,539,810,127,1042.972,1.258798682,"Easy access. Stinky water, very brown. It was probably dug in 1950 to 1960. I did clean & enlarge part of it about 30 years ago"
63B,2017-08-10,13:02:00,52.6918,-106.02972,27,5,2.3,"R, C",0.43,1.6,1.5,103.64,22.9,118.6,9.65,521,0.26,9.51,19.9,35.2,3.04,440.8,0.26,9.36,269.8,719.7,NA,30,20.9,21.4,NA,NA,3,N,231.21067699999998,181.5894093,0.19,0.05,375.36,0.11,3520,60.98,5077.43547,34.355,2860.532889,565.36,70.4,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275.91,NA,0.02,94.47833549,3.218597413,0.10815522,833.5660367,1.153364086,0.002581174,0.17767903,4.435372142,0.043184945,3.571334786,-22.62644436,29.37675539,361.1677216,0.638347575,7.84806001,14.34339281,3.690970415,-27.36559502,34.12752485,308.4673247,0.690840584,6.244277828,10.54511123,2.1,-27.44,97.09,601.38,1.62,10.02,7.23,-76.6,-5.97,0.709884009,restricted,rain,1.166384616,NA,-28.84,-11.42101085,-88.538624,754.6548016,Pasture-livestock,NA,0.006718405,0.006302313,NA,488,1270,160,1746.688,1.266523318,"Dugout connected to small pond. Steep banks, padlocked gate"
63A,2017-08-10,11:43:00,51.14324,-105.65466,23.7,0,3.8,"R, C",1.1,1,1,112.4,21,36.4,2.51,1756,0.96,8.03,19.3,16.6,1.44,1666,0.95,8,963.32,719.5,NA,NA,19.7,20.8,NA,NA,2,N,17.869245534999997,11.11487962,0.26,0.69,524.57,0.93,4210,100.848,8397.002498,55.898,4654.288093,784.57,6.101449275,4.52688172,NA,NA,NA,NA,NA,NA,NA,NA,NA,681.38,468.93,NA,0.02,3756.490658,134.4934837,2.523757924,1624.252805,2.318423852,0.031532583,1.232179252,32.4006912,0.019806113,2.810873281,-24.55218228,31.15492688,335.5667389,0.660481808,7.113986408,12.56605513,2.681840855,-28.73253804,24.50493238,225.4490942,0.579312822,5.329765821,10.73351027,1.59,-34.43,34.68,205.51,0.58,3.43,6.91,-89.4,-7.735,0.514984655,restricted,rain,0.478395441,NA,-27.52,-14.55031852,-112.7594653,365.6085509,Pasture-livestock,NA,0.004964875,0.001980335,NA,589,710,120,659.5,1.270419466,Surrounded by dead trees. Hard access.
64A,2017-08-17,11:14:00,50.77282,-107.94051,24.5,8,3.7,"J, C",0.29,2.5,2.5,80.7,17.8,129,12.34,464.1,0.26,9.45,16.7,0.8,0.08,469.8,0.27,8.6,239.89,704.2,NA,42,17.5,18.3,NA,NA,1,N,90.66581992,87.96870488,0.09,0.05,3.9,0.09,2100,31.723,2641.382182,26.773,2229.225645,93.9,42,23.33333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.95,NA,0.320164087,134.4286849,5.198154562,1.527776851,174.5615425,0.261780055,0.016462403,0.246786258,7.042319218,0.210781399,7.609377401,-21.68780349,14.34603242,131.7651235,0.255904966,2.350430315,10.71557438,6.402605132,-25.5269216,10.35542108,84.39881543,0.212636983,1.733035224,9.508573708,2.085,-29.424999999999997,38.58,232.065,0.645,3.865,7.015000000000001,-96.4,-8.11,0.58447855,restricted,intermediate,1.076740681,Livestock,-31.52,-16.73626858,-129.6787188,702.9465275,Pasture-livestock,NA,0.001066257,0,NA,646,1110,153,2215.625,1.295462988,Direct livestock access. some weeds near shore. lower water level. Dugout is situated in dry streambed  (could have once been inlet and outlet)
64C,2017-08-17,13:10:00,50.79424,-107.93136,24.1,100,3.4,"J, C",0.2,3.3,3.5,80.7,18.9,94.8,8.75,722,0.4,8.86,17.1,24.5,2.36,695,0.4,8.63,376.04,702.7,NA,44,18.4,19,NA,NA,2,N,38.096953725,32.72007003,0.04,0.29,45.02,0.39,2310,53.982,4494.754371,33.117,2757.452123,85.02000000000001,7.965517241,5.923076923,NA,NA,NA,NA,NA,NA,NA,NA,NA,2292.13,245.84,NA,0.02,353.1021047,13.17638584,0.213991275,355.9290367,0.520175178,0.001835019,0.240464532,6.60850681,0.089460457,7.02427551,-20.06358064,12.18662967,139.8639194,0.268842481,3.085460388,13.38963906,6.434302925,-27.70502334,13.57317062,107.991881,0.262537149,2.088817815,9.282321088,NA,NA,NA,NA,NA,NA,NA,-99.8,-8.85,0.513595583,restricted,intermediate,1.095237028,Livestock,-29,-16.90424006,-130.9788181,683.2110666,Pasture-livestock,NA,0.003652015,0,NA,661,1230,160,2836.746,1.286952432,In pasture with direct cattle access. no cattails. looks relatively new (minimal veg grown in dirt mounds
64B,2017-08-17,12:26:00,50.79427,-107.9444,24.7,95,2.6,"J, C",0.95,2.9,3,133.1,19.3,82.4,7.6,365.7,0.2,9.37,13,0.5,0.05,459.9,0.29,6.93,188.23,703.2,NA,24,18.3,18.6,NA,NA,2,N,24.849052535,24.96877439,0.16,0.02,50.17,0.04,1970,21.327,1775.770192,21.383,1780.432973,210.17000000000002,98.5,49.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,79.59,NA,0.02,67.85593545,2.50542499,0.101990926,1944.32449,2.822336069,0.027209922,0.210904506,5.735361165,0.016547185,5.11937387,-23.8210623,12.88782287,119.5111516,0.23339049,2.164272938,10.81871456,5.497964374,-27.93694718,12.04920853,95.55674092,0.248437289,1.970242081,9.252297703,0.17,-22.66,47.61,249.68,0.79,4.16,6.12,-101.3,-9.54,0.414639601,restricted,intermediate,0.804694734,Livestock,-24.98,-16.41346562,-127.1802239,443.8969461,Pasture-livestock,53,0.005903765,7.39015e-4,NA,659,990,136,2077.647,1.219316299,in pasture. Direct cattle access. Forgot pic. Looked like other 64s
31A,2017-08-17,15:17:00,51.14608,-107.5329,26.1,0,2.6,"J, C",0.09,1.9,2,105.3,20.7,174,14.74,13489,8.57,8.41,16.6,19,1.79,12292,8.54,8.31,7849.01,702.1,NA,81,17,17.9,NA,NA,2,N,132.2604423,115.2106036,0.14,0.06,0.5,0.2,7120,136.342,11352.373020000001,89.99,7492.922565,140.5,118.6666667,35.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,9489.78,611.85,NA,0.02,2054.468619,51.73984629,0.475267998,1406.167023,1.253710765,0.003306849,0.189146333,4.681234771,0.055401706,6.200638647,-20.49064989,17.12616523,226.2782581,0.369177953,4.877737835,15.41450159,5.283124545,-28.91748691,22.97366354,205.4193553,0.522128717,4.668621711,10.43176741,NA,NA,NA,NA,NA,NA,NA,-74.3,-4.525,0.918549473,restricted,rain,1.440557988,Livestock,-38.1,-12.92981207,-100.2167454,2169.212945,Pasture-livestock,26,0.01236817,5.55564e-4,NA,671,2280,197,3703.632,1.163841585,Dug 1991. Overflows into marsh on wet years. Direct cattle access. Salinity
31B,2017-08-17,15:54:00,51.1386,-107.53661,25,5,3,"J, C",0.19,2,2,84.8,20.1,30,2.69,3809,2.24,8.07,17.1,0.5,0.04,3520,2.22,7.8,2139.11,700.5,NA,99,19.6,20.1,NA,NA,1,N,11.406009365,8.82578111,1.63,0.13,1160,0.29,7480,101.045,8413.405495,50.825,4231.890092,2790,57.53846154,25.79310345,NA,NA,NA,NA,NA,NA,NA,NA,NA,1705.64,484.7,NA,0.02,5429.751315,190.5996367,1.783075047,3771.862515,5.201538831,0.024219145,0.25466176,6.649383405,0.013515574,6.410930251,-14.32712729,17.34195896,336.0801149,0.321683527,6.234095991,22.60952574,6.93597156,-26.2913029,20.93781325,190.9167098,0.463225957,4.223821014,10.63798587,NA,NA,NA,NA,NA,NA,NA,-81.4,-6.375,0.592875864,restricted,rain,0.869374752,Livestock,-30.4,-13.32802127,-103.2988846,762.5392565,Pasture-livestock,28,0.005878016,0,NA,685.1,1240,152,1886,1.217664973,Very low levels. Normally flows into slough/pond in wetter years. Cattle access. Dug in 1989. Sediment depth - obvious bottom.
7B,2017-08-18,09:03:00,51.42597,-107.0004,20.2,0,2.1,"J, C",0.78,2.7,3,94.8,19,79.2,7.33,820,0.46,8.43,17.7,0.6,0.06,987,0.57,7.02,431.56,713.2,NA,57,18.1,18.5,NA,NA,1,N,32.102993435,30.92911857,0.08,0.02,27.9,0.03,681.42,34.641,2884.346378,8.09,673.6053289,107.9,34.071,22.714,NA,NA,NA,NA,NA,NA,NA,NA,NA,240.83,128.58,NA,0.02,696.9666595,26.31190073,0.059049521,368.6086972,0.54544792,3.83059e-4,0.236041297,6.561009994,0.019336827,NA,-12.72058625,7.586465792,108.9152878,0.154416157,2.216879458,16.74927947,2.584145266,-24.82692125,8.396353273,66.18498291,0.159930539,1.260666341,9.196351188,NA,NA,NA,NA,NA,NA,NA,-124,-14.69,0.11248145700000001,open,intermediate,0.258567291,Pump,-6.48,-17.30122492,-134.0514808,70.15569364,Pasture-livestock,NA,0.002921614,0,NA,535.5,630,106,1433.754,1.191326105,Very hard bottom near shore. lots of vegetation around dugout. Solar panel by dugout with hose going into water
7A,2017-08-18,09:50:00,51.41351,-107.00191,21.9,0,1.5,"J, C",0.5,4.5,4.5,91.4,19.7,98.5,9,1004,0.56,9.28,13.3,0.4,0.05,990,0.64,7.29,535.88,713.7,NA,24,18.7,19.8,NA,NA,1,N,195.69868065,182.54459,0.09,0.02,9.67,0.04,1500,41.399,3447.04413,17.7,1473.771857,99.67,75,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,238.11,194.84,NA,0.02,120.2180718,4.446528088,0.125936356,1499.625745,2.18757739,0.018271052,0.223475287,6.079052256,0.060783881,4.097062175,-23.40486684,44.46466304,406.6197049,0.836430832,7.648978647,10.66891377,3.161629022,-28.79492392,48.37911549,354.2547952,0.981320801,7.185695642,8.542885847,2.49,-16.98,189.33,1877.15,3.16,31.29,11.57,-95.5,-9.35,0.343782841,open,rain,0.690665047,Pump,-20.7,-14.66464861,-113.6443803,102.2228439,Grassland,NA,0.006004767,3.81274e-4,NA,524,300,71,597.375,1.156359278,Seems more like a dammed off pond. Lots of macrophytes and frogs near shore. Hard access. have barrels floating in dugout. No cattle access
7I,2017-08-18,10:59:00,51.50316,-106.83583,26.1,0,1.4,"J, C",1.04,2.3,2.5,80.9,20.4,48,4.35,1157,0.64,9.37,18.5,0.9,0.08,1112,0.64,9.23,622.7,712,NA,44,19.4,20,NA,NA,1,N,38.63151255,40.13844858,0.32,0.45,272.38,0.58,3640,71.71,5970.857619,34.09,2838.467943,592.38,8.088888889,6.275862069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,384.38,NA,0.02,168.7095334,6.096413943,0.077718063,8315.445914,11.92439125,0.213371876,0.241133712,6.401898522,0.009414786,5.551131858,-25.89976296,26.16624361,276.1005298,0.60527975,6.386780702,12.31041374,5.231217994,-28.77742942,32.61021428,296.3925944,0.634439967,5.766392887,10.60377455,1.32,-26.75,86.6,441.24,1.44,7.35,5.94,-71.9,-6.5,0.332248243,open,rain,0.730864945,Isolated,-19.9,-10.19642024,-79.06029268,1086.083983,Crop,NA,0.003126534,0,NA,540,3340,231,7190.766,1.127544821,Dugout in field. No direct livestock access. Trees on one end.
30A,2017-08-17,12:05:00,51.34198,-108.04363,20.8,100,3.3,"L, R",1.12,2.4,2.5,93.4,18.8,60,5.19,623,0.35,7.86,18,1.3,0.11,626,0.35,7.44,323.36,706.2,31,95,18.5,19.2,NA,NA,3,Y,29.86731897,24.2805772,0.03,0.04,3.44,0.13,2280,54.099,4504.496253,47.398,3946.544546,33.44,57,17.53846154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242.1,NA,0.02,2595.056549,97.62726505,0.76747211,954.3623373,1.404949547,0.004196206,0.192429428,5.332966794,0.045782152,7.952886659,-24.4102659,11.50187613,64.09854895,0.211977076,1.181322318,6.501690648,8.289652664,-22.99750466,8.365817058,68.75747602,0.142518178,1.1713369,9.588669558,4.57,-37.36,42.305,212.43,0.705,3.54,5.865,-94.9,-10.43,0.175138813,open,rain,0.304347865,NA,-11.46,-13.43163216,-104.1008329,208.9097204,Crop,36,0.001469429,0,NA,603,1180,147,2072.832,1.207178242,"Gross clumpy weeds, clay bottom. Dug in 1981"
30B,2017-08-17,14:17:00,51.34313,-108.06308,25.8,20,5.2,"L, R",0.51,3.1,3,97,20.4,277.9,23.47,634,0.34,9.61,16.4,0.6,0.05,662,0.39,7.1,329.13,705.4,NA,25,20,21.4,NA,NA,2,Y,70.68450087,73.77333849,0.19,0.35,129.92,0.47,2070,38.155,3176.935887,22.546,1877.268943,319.91999999999996,5.914285714,4.404255319,NA,NA,NA,NA,NA,NA,NA,NA,NA,581.12,174.5,NA,0.02,89.14172241,3.195687538,0.909763373,4134.784736,5.885133824,0.028615454,0.197622405,5.207357003,0.03335345,6.776734368,-29.16095026,18.49328385,130.5690187,0.345475133,2.439174643,8.237072605,5.937244744,-27.3125254,11.11950503,86.24752233,0.259195921,2.010431756,9.049153636,2.7,-26.35,75.65,443.08,1.26,7.38,6.83,-118.8,-12.51,0.299126257,open,snow,0.739010643,NA,-18.72,-18.52558434,-143.5280228,486.5779172,Crop,40,0.004815617,7.17372e-4,NA,590,1610,188,4018.778,1.321721575,Used to have rainbow trout. 51 years old? Dug in 1977
60A,2017-08-18,10:08:00,51.67165,-107.29446,22.3,0,4.5,"L, C",0.31,0.9,1,104.9,18.3,90.2,7.93,339.7,0.19,8.29,17.5,80.2,7.15,333,0.19,8.13,174.61,710,NA,57,17.5,19,NA,NA,2,N,3.82514264,6.55063606,1.31,0.02,211.79,0.07,4250,35.831,2983.430475,28.407,2365.278934,1521.79,212.5,60.71428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126.49,NA,0.02,903.0363132,34.68468,NA,2476.091931,3.705245776,NA,0.310340639,8.792321211,NA,6.761504422,-18.22501446,12.61939634,146.9021542,0.231718625,2.697432138,13.58114461,7.12035643,-26.36710648,11.36707434,86.80284694,0.247110312,1.887018412,8.909063589,-1.39,-25.78,14.92,126.5,0.25,2.11,9.89,-84.4,-6.72,0.649818168,restricted,rain,0.547093627,NA,-30.64,-13.98437354,-108.3790512,620.9316158,Pasture-livestock,NA,0.001820588,0.001332821,NA,539,990,144,804.492,1.291040787,Water level dropped 2.5-3 m
60B,2017-08-18,10:48:00,51.67624,-107.29423,23.9,0,4.8,"L, R",1.8,2.2,2,104.9,19,103.9,9,189.8,0.1,9.79,18.2,78.2,6.9,185.5,0.1,9.68,96.64,710,NA,20,18.9,19.8,NA,NA,4,N,3.2656636999999997,2.9055933,0.07,0.04,39.45,0.05,1200,17.866,1487.593672,13.503,1124.313072,109.45,30,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.34,NA,0.02,62.42588812,2.348351875,0.156777096,846.7038305,1.24887127,8.1895e-4,0.244105302,6.769303465,0.079647259,4.007876818,-24.48220709,12.9693695,115.4214131,0.299454387,2.665006075,10.38279581,5.055354386,-27.72419527,15.95307225,123.0376571,0.292716922,2.257571689,8.997886487,-0.08,-21.27,9.96,67.81,0.17,1.13,7.94,-82.7,-6.29,0.723303587,restricted,rain,1.570108723,NA,-32.38,-13.89986971,-107.7249915,802.3389826,Pasture-livestock,NA,0.001895772,0,NA,536,1150,152,2407.944,1.264415281,NA
60C,2017-08-18,11:43:00,51.68453,-107.2179,24.8,0,2.4,"L, R",0.05,2.5,2.5,104.9,20.3,278.3,23.78,980,0.54,9.36,13.5,0.6,0.05,1222,0.79,6.88,522.26,708.7,NA,41,17.1,18.6,NA,NA,4,N,169.6334149,164.1134025,0.32,0.03,146.41,0.22,5210,121.595,10124.4796,49.586,4128.726062,466.40999999999997,173.6666667,23.68181818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,618.13,NA,0.02,260.5438418,9.403720926,0.329375473,724.030194,1.036287074,0.005488043,0.172880981,4.585247157,0.039574285,4.048564945,-20.92367715,40.88040848,416.1668454,0.941294232,9.58247399,11.87678901,4.18752345,-24.79713887,60.24007046,506.8584897,1.169710106,9.841912421,9.816304996,3.74,-25.27,142.81,677.29,2.38,11.29,5.53,-79.3,-5.68,0.796746746,restricted,rain,1.401908317,NA,-33.86,-13.31383986,-103.1891205,798.0867675,Pasture-livestock,NA,0.011404392,0.001711174,NA,547,1040,164,1762.5,1.434571658,NA
57D,2017-08-22,11:01:00,52.40304,-107.92971,18.7,100,6.9,"L, C",0.71,3.1,3,105.6,16,42.7,4.21,467,0.27,9.29,14.4,2.1,0.21,478.7,0.29,8.61,241.41,700.8,NA,28,16.4,16.7,NA,NA,2,N,0.5200404000000001,2.2252626,0.09,0.11,57.96,0.17,2240,38.016,3165.362198,26.291,2189.092423,147.96,20.36363636,13.17647059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174.65,NA,NA,130.6275578,5.312407967,0.109960227,1107.683472,1.71881279,0.016094102,0.216948232,6.528887709,0.143874549,3.707680108,-22.26574203,22.98534628,261.7295165,0.414673395,4.72180257,13.28459875,3.009045374,-29.92172219,20.35501349,183.9237774,0.419691,3.792242832,10.5417636,2.08,-24.77,17.21,129.35,0.29,2.16,8.77,-84.6,-7.17,0.584824476,restricted,rain,1.743244753,NA,-27.24,-13.36337781,-103.5725442,1456.836104,Pasture-livestock,NA,0.001530927,2.99273e-4,NA,728,2770,290,7425.368,1.554365618,too deep for boat sediment
57C,2017-08-22,10:20:00,52.40814,-107.92896,18.4,80,4.4,"L, C",0.38,2.7,3,105.6,16.6,43.7,4.15,414.1,0.24,8.86,15.6,1.3,0.13,418.1,0.25,7.98,213.62,NA,NA,NA,NA,NA,NA,NA,NA,N,17.85442372,15.07047208,0.1,0.12,51.15,0.2,2200,32.498,2705.91174,24.166,2012.156536,151.15,18.33333333,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,135.16,NA,2.195995932,261.4275888,10.5288335,0.254139371,1132.55758,1.749896727,0.079909059,0.192274101,5.725521608,0.015592591,2.848912672,-24.04207533,20.82219835,209.248848,0.404786127,4.06782364,11.72420183,2.807878716,-29.57260674,21.95825245,190.9697058,0.444499037,3.865783518,10.14643541,2.52,-27.6,31.55,213.09,0.53,3.55,7.88,-78.75,-6.57,0.550475433,restricted,rain,1.515931605,NA,-26.19,-11.84097688,-91.78916106,702.4966426,Pasture-livestock,NA,0.001576609,0,NA,724,1420,150,3514.374,1.122902774,NA
57B,2017-08-22,09:42:00,52.41474,-107.92747,17.8,40,3.1,"L, C",0.43,2.8,3,105.6,16.4,104.1,10.16,636,0.37,9.09,13.9,0.9,0.1,683,0.43,7.27,330.18,700.6,NA,16,16.7,17,NA,NA,1,N,161.15081959999998,147.7645104,0.12,0.04,20.45,0.06,2210,62.715,5221.898418,29.147,2426.894255,140.45,55.25,36.83333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,1318.15,285.93,NA,0.02,253.2831502,10.16744187,0.241821006,8533.448297,13.11632305,0.012671803,0.207644404,6.162371044,0.184604814,2.367415907,-26.46302671,27.2285234,309.7685887,0.602134529,6.850256273,13.27272439,2.714803904,-28.3587073,22.6233674,250.3880711,0.545141383,6.033447495,12.91228715,0.35,-20,86.69,732.57,1.44,12.21,9.86,-80.5,-8.12,0.257847158,open,rain,0.549078031,NA,-15.54,-11.25693319,-87.2686629,127.3834405,Pasture-livestock,NA,0.003112521,0,NA,729,550,95,1052.016,1.142713422,NA
