Site_ID,Date,Time,Latitude,Longitude,Air_temp,Cloud_perc,Wind_km.hr,Field_team,Secchi_m,Depth_m,Max_depth_m,DO_calibration_perc,Surface_temp,Surface_DO_sat,Surface_DO_mg.L,Surface_cond,Surface_sal_ppt,Surface_pH,Deep_temp,Deep_DO_sat,Deep_DO_mg.L,Deep_cond,Deep_sal_ppt,Deep_pH,TDS_mg.L,YSI_atm,Core_length_cm,Sediment_depth,Bottle1_temp_in,Bottle1_temp_out,Bottle2_temp_in,Bottle2_temp_out,Tows,Floating_chamber,Chl_total,Chla,Surface_NH3_mg.N.L,Surface_SRP_mg.P.L,Surface_Nitrate_Nitrite_ug.N.L,Surface_TP_mg.P.L,Surface_TN_ug.N.L,Surface_DIC_mg.L,Surface_DIC_uM,Surface_DOC_mg.L,Surface_DOC_uM,Surface_DIN_ug.N.L,Surface_NP_ratio,Surface_TN_TP,Deep_NH3_mg.N.L,Deep_SRP_mg.P.L,Deep_Nitrate_Nitrite_ug.N.L,Deep_TP_mg.P.L,Deep_TN_ug.N.L,Deep_DIC_mg.L,Deep_DIC_uM,Deep_DOC_mg.L,Deep_DOC_uM,SO4_mg.L,Alk_mg.L,Chloride_mg.L,MC_ug.L,pCO2,CO2_uM,CO2_uM_error,pCH4,CH4_uM,CH4_uM_error,pN2O,N2O_nM,N2O_nM_error,d15N_bulk,d13C_bulk,mgN_bulk,mgC_bulk,PercentN_bulk,PercentC_bulk,Sediment_C_N,d15N_org,d13C_org,mgN_org,mgC_org,PercentN_org,PercentC_org,Sediment_C_N_org,d15N_bulk_POM,d13C_bulk_POM,ugN_bulk_POM,ugC_bulk_POM,PercentN_bulk_POM,PercentC_bulk_POM,C_N_POM,d2H,d18O,EtoI,Regime,Water_source,Residence_time,Water_class,d_excess,delI18O,delI2H,Inflow,Land_use,Age_years,B_F_max,B_F_min,Rn_dpm.L,Elevation_m,Area_m2,Perimeter_m,Volume_m3,SI,General_comments
48B,2017-07-24,12:10:00,49.99197,-101.9299,27.4,40,21,"JW, JB",0.85,2.4,2.5,100.8,22.7,95.4,7.72,1773,0.9,8.51,14,0,0,1882,0.93,6.98,973.01,699,NA,28,22.7,25.1,NA,NA,3,N,25.683018065,19.38683844,0.09,0.02,6.69,0.04,2550,48.601,4046.711074,33.103,2756.286428,96.69,127.5,63.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,953.88,218.7,NA,0.02,617.1745461,20.45756435,1.124628938,405.890846,0.544726703,0.002399243,0.256818062,6.23958538,0.631384856,4.670825499,-22.68287773,26.1390128,300.0931448,0.519662282,5.966066498,13.3941045,3.701980869,-30.63040281,31.20011975,267.5399769,0.588681505,5.047924092,10.0041274,3.67,-34.1,41.66,296.83500000000004,0.6950000000000001,4.945,8.315,-82.9,-9.59,0.101224387,open,rain,0.186861163,Isolated,-6.18,-11.10982199,-86.13002219,32.67414613,Domestic,NA,0.015714281,0.004178506,NA,617.9,350,77,595.872,1.161052268,"Bordered by cattails, weeds edges, banks exposed 30cm surrounded by grassland"
55B,2017-07-25,09:03:00,49.91539,-101.69835,20,50,3,"JW, JB",0.6,2.5,2.5,101.7,20.4,82.1,6.88,416.7,0.2,9.01,15.9,0.9,0.08,392.4,0.23,7.3,214.98,705.1,NA,34,21.4,21.8,NA,NA,2,Y,47.36387962,33.39791168,0.11,0.02,7.09,0.03,1670,33.615,2798.917569,17.865,1487.510408,117.09,83.5,55.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,742.85,141.05,NA,0.02,157.4396947,5.639525306,0.038485096,1159.189848,1.648330829,0.002085578,0.210935353,5.560417555,1.053477799,3.511682255,-15.91604871,12.7881581,199.3940541,0.275666266,4.298211988,18.19076638,3.858844478,-27.25626433,15.30703793,124.9657236,0.316915899,2.587282062,9.524595476,1.15,-30.43,29.76,200.4,0.5,3.34,7.85,-85.8,-8.7,0.265323759,open,rain,0.559246881,Pump,-16.2,-12.29656621,-95.31542247,672.6588257,Crop,NA,0.012828965,0,NA,586,2770,246,5343.75,1.318530835,"sediment varies between solid patches and deep patches. Cattails and tall grass around edges. Steep banks, surrounded by grassland and bean crop. Very high wind but sheltered on dugout"
4G,2017-07-27,09:42:00,50.39611,-104.57745,25.6,0,6,"L,JW",0.32,1.3,1.5,88.5,20.4,47.7,3.95,501.7,0.24,7.73,15.5,0.4,0.04,586.1,0.29,6.87,259.66,709.9,NA,64,21.1,22.4,NA,NA,1,Y,55.04083475,46.48100025,0.03,0.02,1.83,0.06,2040,61.688,5136.386345,66.448,5532.722731,31.83,102,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,271.95,NA,0.02,4940.09569,178.1268767,0.353360611,1427.102577,2.042598401,0.002364506,0.517353938,13.72742052,1.620332899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.99,-37.26,49.71,335.12,0.83,5.59,7.87,-79.3,-6.97,0.3910845,open,rain,0.413997683,NA,-23.54,-12.07051565,-93.56579109,263.078219,Crop,NA,0.00985773,0.001188185,NA,576,630,110,712.101,1.236281807,NA
4D,2017-07-27,12:30:00,50.35226,-104.57456,28.3,0,6,"L,JW",NA,1.6,1.5,109.2,25.4,122,9.45,263.1,0.12,9,20,2.6,0.24,292.4,0.14,7.2,134.64,709.6,NA,60,25.4,NA,NA,NA,1,N,28.184133765,27.44330157,0.33,0.07,39.8,0.11,3010,32.376,2695.753539,27.236,2267.776853,369.8,43,27.36363636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.11,NA,0.02,277.5025791,8.701701512,0.24551803,3083.542357,4.016866716,0.015428622,0.254363663,5.832704282,0.029037394,5.890194257,-25.28001201,23.3730439,211.9638161,0.543685599,4.93053771,10.58018459,5.74280464,-27.51598217,27.46801897,240.7980499,0.524198835,4.595382631,10.22756896,5.33,-23.44,108.22,520.04,1.8,8.67,5.61,-82.1,-6.35,0.595066487,restricted,rain,0.76913384,Isolated,-31.3,-13.66046687,-105.8720136,510.1011264,Crop,NA,0.01807422,0.003309889,NA,572,800,124,1107.968,1.236721069,"lots of green stuff in tow, flaxseed field"
4E,2017-07-27,13:30:00,50.35349,-104.57772,32.7,0,6,"L,JW",0.37,1.1,1,100,24.2,91,6.97,766,0.37,8.11,20.6,17.6,1.49,776,0.38,7.77,400.96,709.3,NA,117,NA,NA,NA,NA,2,N,9.756537875,5.8651535,0.25,2.6,231.55,0.67,4140,89.301,7435.553705,37.441,3117.485429,481.55,1.592307692,6.179104478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377.17,NA,0.02,4546.905323,147.0674576,2.793383693,4851.413744,6.445657681,0.11430678700000001,0.661383927,15.66090481,0.36165346,6.353787941,-21.96800951,22.89795565,185.1447891,0.399336513,3.228894125,9.433254969,7.03659225,-25.70787814,15.44614735,121.7653678,0.326557026,2.574320672,9.19708925,NA,NA,NA,NA,NA,NA,NA,-67,-3.82,0.796002406,restricted,rain,0.757640141,NA,-36.44,-10.95600284,-84.939462,520.2984281,Crop,NA,0.009846485,0.006496897,NA,572,610,111,622.138,1.267806953,GHG vial #2 only 10ml air
4C,2017-07-27,12:47:00,50.33757,-104.50439,NA,0,6,"C, R",0.41,0.8,1,93.4,23.7,131.1,11.09,592,0.29,9.88,22.6,128,11.15,578,0.3,9.86,307.1,712,11,25,22.3,23.6,NA,NA,2,N,40.036321265,31.76049365,0.06,0.001,4.81,0.03,1630,39.19,3263.114072,23.412,1949.37552,64.81,NA,54.33333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111.98,NA,0.02,68.80211258,2.265567019,0.618566423,541.1347724,0.72872974,0.002267144,0.261704821,6.313448373,0.945226848,5.028106013,-20.29038514,14.42091713,149.4029231,0.24123314,2.499212498,12.0868464,4.234569345,-27.19810181,13.18217895,110.9993814,0.231266297,1.947357568,9.823814317,2.99,-17.41,44.9,379.93,0.75,6.33,9.87,-62.3,-3.59,0.690845429,restricted,rain,0.455860267,NA,-33.58,-9.537269213,-73.95846371,2727.389096,Crop,NA,0.005157609,0.005157609,NA,576,3690,253,2605.056,1.174904064,NA
4B,2017-07-27,09:58:00,50.56744,-104.46211,25,0,6,"C, R",0.36,2,2,93.1,21.7,126.5,11.08,721,0.38,9.85,17.9,7.7,0.73,740,0.42,8.82,375.47,712.6,15,22,20.6,21.6,NA,NA,1,N,104.198746,107.4294982,0.19,0.12,14.17,0.19,3050,29.371,2445.545379,31.655,2635.720233,204.17,25.41666667,16.05263158,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,148.86,NA,0.02,144.457006,5.033305122,0.795878276,5766.234864,8.067854521,1.626771023,0.29817387,7.630272097,1.870952751,4.894124928,-28.28850821,38.7216865,392.0982871,0.776452507,7.862408004,11.81374168,5.130919425,-29.27486455,41.76521986,394.8042131,0.701936468,6.635364926,11.02843267,1.23,-21.63,122.47,625.65,2.04,10.43,5.96,-82.8,-6.54,0.58791903,restricted,rain,0.977041872,Isolated,-30.48,-13.65619497,-105.8389491,633.9570917,Crop,NA,0.005705545,0.00387989,NA,634,1030,141,1792,1.239354558,"Lot of filamentous phytos, right off road, surrounded by grass"
4A,2017-07-27,11:38:00,50.33809,-104.4821,29.3,0,6,"C, R",0.2,2.1,2,95.4,22.7,110.1,9.51,617,0.31,8.68,19.4,1.9,0.18,583,0.32,7.37,320.22,712.1,14,24,21.6,24.3,NA,NA,2,N,50.578735065000004,48.25065377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,266.2412257,9.01471405,0.331870617,1123.233053,1.541281353,0.023512437,0.237518387,5.899250565,0.086171579,4.101816137,-30.06712857,47.20816653,440.631393,1.019835095,9.518932663,10.88942859,4.1430591980000004,-31.4218889,44.59812797,413.5924852,0.978029122,9.070010639,10.81939059,6.82,-29.29,33.36,211.33,0.56,3.52,7.39,-92.55,-9.175,0.298692269,open,rain,0.496012994,NA,-19.15,-13.93994261,-108.0351558,245.8150124,Crop,NA,0.00753412,0.001588449,NA,576,770,123,1366.638,1.250416848,NA
62E,2017-08-01,14:25:00,50.31057,-106.42409,17,100,2.8,"L, C",0.97,1.9,2,98.1,20.8,29.1,2.37,5360,3.17,8.17,20.9,28.4,2.31,5378,3.19,8.19,3035.83,705.2,NA,30,21.8,21.6,NA,NA,NA,N,20.477565955,11.6997516,1.89,1.26,462.92,1.61,9480,126.234,10510.74105,77.019,6412.905912,2352.92,7.523809524,5.888198758,NA,NA,NA,NA,NA,NA,NA,NA,NA,1802.54,628.97,NA,1.5806582855,2135.897735,74.60435597,2.955089669,706.841346,0.97898575,0.055883097,1.314650361,33.64335433,9.040314778,14.2875868,-27.49351143,45.38338484,465.4504823,1.090946751,11.18871352,11.96529445,13.89758243,-30.2547781,62.84174531,562.8621849,1.251827596,11.21239412,10.44962303,16.34,-30.44,13.8,78.04,0.23,1.3,6.6,-56.1,-2.1,0.881809674,restricted,rain,1.382926498,NA,-39.3,-8.805355898,-68.29345465,2996.208649,Grassland,NA,0,0,NA,704.2,3080,229,5328.702,1.164005928,Very dried up. Fish
62B,2017-08-01,12:42:00,50.33084,-106.507811,17.2,100,3.5,"L, C",0.27,1,1,102.3,20.3,63,5.25,2154,1.22,9.07,20.3,64.2,5.35,2158,1.22,9.07,1190.26,706.3,NA,74,21.2,20.5,NA,NA,NA,N,51.196229665000004,40.48132025,0.06,0.02,5.28,0.08,3760,150.574,12537.38551,42.599,3546.960866,65.28,188,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,572.85,755.49,NA,0.02,408.1203439,14.61705249,0.262657785,1324.124385,1.877844845,0.004138173,0.38584167,10.15767096,4.319183858,8.076695867,-9.8566081230000009,18.53685313,470.7428572,0.389429688,9.889555824,29.62746676,7.163675158,-24.57850643,44.43478561,373.0999294,0.996295641,8.365469268,9.79600205,NA,NA,NA,NA,NA,NA,NA,-76.3,-5.605,0.577715605,restricted,rain,0.380267448,NA,-31.46,-12.5115857,-96.9796733,1083.503059,Pasture-livestock,NA,0,0,NA,686.4,1700,172,1234.5,1.17679023,NA
