Site_ID,Date,Time,latitude,longitude,Air_temp,Cloud (%),Wind_km.hr,Secchi.m,Depth.m,DO Calibration%,Sample_depth (m),Surface_Temp,Surface_Sal.ppt,Surface_pH,YSI_atm,Surface_DO.sat,Surface_DO.mg.L,Surface_Cond,Shakey Bottle 1 temp out,Shakey Bottle 2 temp out,Deep_Temp,Deep_Sal.ppt,Deep_pH,Deep_DO.sat,Deep_DO.mg.L,Deep_Cond
14B,20-Jul-20,, 50.99505,-104.68559,28.9,0,1.4,0.13,1.6,90.8,0,24.5,0.58,9.15,712.3,110.3,8.01,1144,24.5,24.6,21.7,0.58,8.82,1.9,0.17,1090
LS,4-Aug-20,,49.365196,-103.530343,19.3,25,4.3,0.63,4.2,90.8,0,21.7,0.51,9.47,712,80.6,7.04,961,22.7,22.4,13.8,0.57,7.4,1.5,0.15,893
LH,4-Aug-20,,49.376693,-103.506082,21.7,25,3.7,0.43,3,103.7,0,22.7,0.21,8.86,711,91.6,7.92,425.3,23.8,23.5,20.1,0.22,8.26,26.1,2.4,407.5
FH,6-Aug-20,,50.776242,-104.604241,32.2,0,0.3,0.83,1.4,96.9,0,22.3,0.11,9.38,706.5,114.5,9.15,220.9,26.1,25.5,20.1,0.12,9,71.2,6.45,227.3
CB1,7-Aug-20,,49.85506,-104.4464,24.2,50,2.7,0.25,1.5,84.7,0,21.6,1.42,8.49,702.5,83.1,7.26,2565,23.3,22.7,21.4,1.42,8.48,78.1,6.9,2557
CB2,7-Aug-20,,49.90982,-104.44123,26.9,25,1.7,0.13,2.6,86.9,0,23.1,0.43,9.59,703.1,140,11.92,848,24.7,24.7,16.3,0.47,7.4,1.1,0.11,791
T1,10-Aug-20,,50.93521,-104.77952,22.2,0,3.7,0.07,1.3,106.1,0,17.7,0.27,7.21,707.7,35.2,3.46,481.7,19.5,18.9,17.1,0.27,7.6,8.4,0.8,472.5
T2,10-Aug-20,,50.92725,-104.78163,24.6,10,1.3,0.28,1.2,94.9,0,19.1,0.13,7.85,706.7,72,6.63,239.3,20.1,20.1,17.9,0.13,7.65,44.3,4.1,233.2
LHM2,11-Aug-20,,49.39108,-103.45554,22.3,10,0.8,1.1,1.1,86.4,0,18.9,0.9,9.14,708.8,37.7,3.49,1563,20.3,19.7,19.4,0.36,7.45,1,0.09,653
LHM1,11-Aug-20,,49.30926,-103.45449,25.8,75,1.5,0.98,1.4,94.5,0,22.3,0.34,8.12,708.4,15,1.3,872,23.8,,16.1,4.56,7.04,-0.1,0,6696
LA1,12-Aug-20,~9:30 ,50.38457,-105.89814,23.9,25,3.3,1.05,2.3,88.6,0,18.3,2.88,8.96,697.3,81.5,7.46,4645,20.3,20.3,16.1,4.56,7.04,-0.1,0,6696
LA2,12-Aug-20,~10:30, 50. 37810,-105.84693,25.1,75,2.1,0.38,3,96.4,0,18.9,4.08,8.83,897.5,90.9,8.24,6511,20.4,20.4,16.6,4.08,8.64,1.2,0.11,6177
MC3,13-Aug-20,,50.60353,-106.12261,22.1,10,2.1,1.3,1.3,91.3,0,20.4,1.22,8.76,709.2,81.5,7.32,2143,22.3,21.4,17.9,1.21,8.66,31.1,3.87,2080
MC2,13-Aug-20,,50.60271,-106.14088,22.3,0,3.5,0.37,1.1,91.3,0,19,1.12,8.27,709.3,43.1,3.97,1933,20.8,20.5,17.9,1.11,8.26,26.3,2.43,1869
MC1,13-Aug-20,~9:45,50.62983,-106.14088,19.6,85,3.2,0.33,0.9,89.1,0,18.1,0.23,9.38,708.5,100.6,9.5,403.8,19.3,,17.7,0.22,9.33,87.3,8.31,392.5
14A,16-Aug-20,~1:30,51.04659,-104.65096,31.3,,1.7,0.25,3.2,85.6,0,22.8,2.7,8.71,714.7,87.9,7.48,4798,23.6,23.6,17.3,2.69,8.72,1.1,0.11,4243
56A,16-Aug-20,~9:45,49.98365,-105.28638,25.4,0,0.8,2.87,3.2,87.8,0,20.1,2.45,8.84,702.4,88.5,7.94,4145,23,23,17.8,6.05,7.55,4.7,0.43,7796
