Year,Column,NA_count
2017,Core_length_cm,81
2017,Bottle2_temp_in,100
2017,Bottle2_temp_out,100
2017,Deep_NH3_mg.N.L,100
2017,Deep_SRP_mg.P.L,100
2017,Deep_Nitrate_Nitrite_ug.N.L,100
2017,Deep_TP_mg.P.L,100
2017,Deep_TN_ug.N.L,100
2017,Deep_DIC_mg.L,100
2017,Deep_DIC_uM,100
2017,Deep_DOC_mg.L,100
2017,Deep_DOC_uM,100
2017,MC_ug.L,100
2017,d15N_bulk_POM,100
2017,d13C_bulk_POM,100
2017,ugN_bulk_POM,100
2017,ugC_bulk_POM,100
2017,PercentN_bulk_POM,100
2017,PercentC_bulk_POM,100
2017,C_N_POM,100
2017,Water_class,49
2017,Age_years,71
2017,Rn_dpm.L,100
2017,Elevation_m,100
2018,Core_length_cm,89
2018,Sediment_depth,89
2018,Bottle_temp_in,89
2018,Bottle_temp_out,89
2018,Bottle2_temp_in,89
2018,Bottle2_temp_out,89
2018,Tows,89
2018,Floating_chamber,89
2018,Deep_NH3_mg.N.L,89
2018,Deep_SRP_mg.P.L,89
2018,Deep_Nitrate_Nitrite_ug.N.L,89
2018,Deep_TP_mg.P.L,89
2018,Deep_TN_ug.N.L,89
2018,Deep_DIC_mg.L,89
2018,Deep_DIC_uM,89
2018,Deep_DOC_mg.L,89
2018,Deep_DOC_uM,89
2018,SO4_mg.L,89
2018,Alk_mg.L,89
2018,d15N_bulk,89
2018,d13C_bulk,89
2018,mgN_bulk,89
2018,mgC_bulk,89
2018,PercentN_bulk,89
2018,PercentC_bulk,89
2018,Sediment_C_N,89
2018,d15N_org,89
2018,d13C_org,89
2018,mgN_org,89
2018,mgC_org,89
2018,PercentN_org,89
2018,PercentC_org,89
2018,Sediment_C_N_org,89
2018,Regime,89
2018,Residence_time,89
2018,Water_class,89
2018,d_excess,89
2018,delI18O,89
2018,delI2H,89
2018,Inflow,89
2018,Age_years,89
2018,NP_ratio2,89
2018,Rn_dpm.L,73
2018,Perimeter,89
2018,Volume_m3,89
2018,SI,89
2019,Core_length_cm,93
2019,Sediment_depth,93
2019,Bottle_temp_in,93
2019,Bottle_temp_out,93
2019,Bottle2_temp_in,93
2019,Bottle2_temp_out,93
2019,Deep_NH3_mg.N.L,93
2019,Deep_SRP_mg.P.L,93
2019,Deep_Nitrate_Nitrite_ug.N.L,93
2019,Deep_TP_mg.P.L,93
2019,Deep_TN_ug.N.L,93
2019,Deep_DIC_mg.L,93
2019,Deep_DIC_uM,93
2019,Deep_DOC_mg.L,93
2019,Deep_DOC_uM,93
2019,SO4_mg.L,93
2019,Alk_mg.L,93
2019,MC_ug.L,93
2019,d15N_bulk,93
2019,d13C_bulk,93
2019,mgN_bulk,93
2019,mgC_bulk,93
2019,PercentN_bulk,93
2019,PercentC_bulk,93
2019,Sediment_C_N,93
2019,d15N_org,93
2019,d13C_org,93
2019,mgN_org,93
2019,mgC_org,93
2019,PercentN_org,93
2019,PercentC_org,93
2019,Sediment_C_N_org,93
2019,d15N_bulk_POM,93
2019,d13C_bulk_POM,93
2019,ugN_bulk_POM,93
2019,ugC_bulk_POM,93
2019,PercentN_bulk_POM,93
2019,PercentC_bulk_POM,93
2019,C_N_POM,93
2019,d2H,93
2019,d18O,93
2019,EtoI,93
2019,Regime,93
2019,Water_source,93
2019,Residence_time,93
2019,Water_class,93
2019,d_excess,93
2019,delI18O,93
2019,delI2H,93
2019,Inflow,93
2019,Age_years,93
2019,NP_ratio2,93
2019,Elevation_m,93
2019,Area_m2,93
2019,Perimeter,93
2019,Volume_m3,93
2019,SI,93
2020,Field_team,46
2020,TDS_mg.L,46
2020,Core_length_cm,46
2020,Sediment_depth,46
2020,Bottle_temp_in,46
2020,Bottle2_temp_in,46
2020,Tows,46
2020,Floating_chamber,46
2020,Chl_total,46
2020,Chla,46
2020,Surface_DIC_uM,46
2020,Surface_DOC_uM,46
2020,Surface_NP_ratio,46
2020,Deep_NH3_mg.N.L,44
2020,Deep_SRP_mg.P.L,44
2020,Deep_Nitrate_Nitrite_ug.N.L,44
2020,Deep_TP_mg.P.L,44
2020,Deep_TN_ug.N.L,44
2020,Deep_DIC_mg.L,44
2020,Deep_DIC_uM,46
2020,Deep_DOC_mg.L,44
2020,Deep_DOC_uM,46
2020,SO4_mg.L,46
2020,Alk_mg.L,46
2020,MC_ug.L,46
2020,pCO2,46
2020,CO2_uM,46
2020,CO2_uM_error,46
2020,pCH4,46
2020,CH4_uM,46
2020,CH4_uM_error,46
2020,pN2O,46
2020,N2O_nM,46
2020,N2O_nM_error,46
2020,d15N_bulk,46
2020,d13C_bulk,46
2020,mgN_bulk,46
2020,mgC_bulk,46
2020,PercentN_bulk,46
2020,PercentC_bulk,46
2020,Sediment_C_N,46
2020,d15N_org,46
2020,d13C_org,46
2020,mgN_org,46
2020,mgC_org,46
2020,PercentN_org,46
2020,PercentC_org,46
2020,Sediment_C_N_org,46
2020,d15N_bulk_POM,46
2020,d13C_bulk_POM,46
2020,ugN_bulk_POM,46
2020,ugC_bulk_POM,46
2020,PercentN_bulk_POM,46
2020,PercentC_bulk_POM,46
2020,C_N_POM,46
2020,d2H,46
2020,d18O,46
2020,EtoI,46
2020,Regime,46
2020,Water_source,46
2020,Residence_time,46
2020,Water_class,46
2020,d_excess,46
2020,delI18O,46
2020,delI2H,46
2020,Inflow,46
2020,Age_years,46
2020,NP_ratio2,46
2020,B_F_max,46
2020,B_F_min,46
2020,Rn_dpm.L,46
2020,Elevation_m,46
2020,Area_m2,46
2020,Perimeter,46
2020,Volume_m3,46
2020,SI,46
2020,General_comments,46
