Port,Sample,Sample Name #2,Sample Name #3,Time,Wt.[mg],d15NAIR,d13CVPDB,mgN,mgC,%N,%C,C/N
5,4g,5_4g_Finlay dugouts 2018 POM #02.dxf,N+C IsoLink,2018/09/18 14:32:28,6.00,5.99,-37.26,49.71,335.12,0.83,5.59,7.87
31,4h,31_SS10 5B_Finlay 2017 dugouts #01.dxf,N+C IsoLink,2018/09/14 14:36:45,6.00,2.56,-26.28,33.62,230.68,0.56,3.84,8.00
34,54a,34_AP13 4B_Finlay 2017 dugouts #01.dxf,N+C IsoLink,2018/09/14 15:00:37,6.00,3.65,-31.92,79.10,592.73,1.32,9.88,8.74
33,54b,33_SA10 2A_Finlay 2017 dugouts #01.dxf,N+C IsoLink,2018/09/14 14:52:39,6.00,3.45,-19.78,39.20,361.51,0.65,6.03,10.76
44,55b,44_SP11 2A_Finlay 2017 dugouts #01.dxf,N+C IsoLink,2018/09/14 16:20:11,6.00,1.15,-30.43,29.76,200.40,0.50,3.34,7.85
8,56b,8_SS10 4A_Finlay 2017 dugouts #01.dxf,N+C IsoLink,2018/09/14 11:33:47,6.00,9.16,-27.47,23.80,207.46,0.40,3.46,10.17
36,57a,36_57a_Finlay dugouts 2017 POM #03.dxf,N+C IsoLink,2018/09/19 15:48:12,6.00,3.07,-28.72,29.77,271.89,0.50,4.53,10.65
37,57a,37_rep_Finlay dugouts 2017 POM #03.dxf,N+C IsoLink,2018/09/19 15:56:10,6.00,2.61,-28.82,29.04,268.71,0.48,4.48,10.79
44,57b,44_57b_Finlay dugouts 2018 POM #02.dxf,N+C IsoLink,2018/09/18 19:42:43,6.00,0.35,-20.00,86.69,732.57,1.44,12.21,9.86
40,57c,40_57c_Finlay dugouts 2017 POM #03.dxf,N+C IsoLink,2018/09/19 16:20:04,6.00,2.52,-27.60,31.55,213.09,0.53,3.55,7.88
11,57d,11_AS12 1B_Finlay 2017 dugouts #01.dxf,N+C IsoLink,2018/09/14 11:57:38,6.00,2.08,-24.77,17.21,129.35,0.29,2.16,8.77
40,58a,40_AS12 1A_Finlay 2017 dugouts #01.dxf,N+C IsoLink,2018/09/14 15:48:21,6.00,-1.00,-20.87,17.49,194.70,0.29,3.24,12.98
21,58b,21_AS11 2B_Finlay 2017 dugouts #01.dxf,N+C IsoLink,2018/09/14 13:17:12,6.00,5.28,-25.62,70.11,426.48,1.17,7.11,7.10
41,58c,41_58c_Finlay dugouts 2017 POM #03.dxf,N+C IsoLink,2018/09/19 16:28:01,6.00,-6.60,-25.50,44.33,287.53,0.74,4.79,7.57
17,59b,17_59b_Finlay dugouts 2017 POM #03.dxf,N+C IsoLink,2018/09/19 13:16:56,6.00,3.52,-29.21,23.19,173.68,0.39,2.89,8.74
36,59d,36_59d_Finlay dugouts 2018 POM #02.dxf,N+C IsoLink,2018/09/18 18:39:04,6.00,2.84,-28.17,55.50,383.02,0.93,6.38,8.05
37,59d,37_rep_Finlay dugouts 2018 POM #02.dxf,N+C IsoLink,2018/09/18 18:47:01,6.00,2.70,-28.32,56.97,403.83,0.95,6.73,8.27
22,60a,22_SA11 5A_Finlay 2017 dugouts #01.dxf,N+C IsoLink,2018/09/14 13:25:09,6.00,-1.39,-25.78,14.92,126.50,0.25,2.11,9.89
45,60b,45_60b_Finlay dugouts 2018 POM #02.dxf,N+C IsoLink,2018/09/18 19:50:41,6.00,-0.08,-21.27,9.96,67.81,0.17,1.13,7.94
20,60c,20_AP12 2B_Finlay 2017 dugouts #01.dxf,N+C IsoLink,2018/09/14 13:09:15,6.00,3.74,-25.27,142.81,677.29,2.38,11.29,5.53
29,61a,29_AP13 1B_Finlay 2017 dugouts #01.dxf,N+C IsoLink,2018/09/14 14:20:50,6.00,5.95,-24.88,31.75,180.32,0.53,3.01,6.63
10,61b,10_AS13 1B_Finlay 2017 dugouts #01.dxf,N+C IsoLink,2018/09/14 11:49:42,6.00,2.91,-24.27,25.18,181.39,0.42,3.02,8.40
43,62c,43_62c_Finlay dugouts 2018 POM #02.dxf,N+C IsoLink,2018/09/18 19:34:46,6.00,2.49,-19.53,25.36,240.18,0.42,4.00,11.05
17,62e,17_62e_Finlay dugouts 2018 POM #02.dxf,N+C IsoLink,2018/09/18 16:07:56,6.00,16.34,-30.44,13.80,78.04,0.23,1.30,6.60
28,63a,28_63a_Finlay dugouts 2017 POM #03.dxf,N+C IsoLink,2018/09/19 14:44:32,6.00,1.59,-34.43,34.68,205.51,0.58,3.43,6.91
31,63b,31_63b_Finlay dugouts 2018 POM #02.dxf,N+C IsoLink,2018/09/18 17:59:17,6.00,2.10,-27.44,97.09,601.38,1.62,10.02,7.23
46,64a,46_SP12 3B_Finlay 2017 dugouts #01.dxf,N+C IsoLink,2018/09/14 16:36:06,6.00,1.67,-29.49,38.86,234.65,0.65,3.91,7.04
47,64a,47_rep_Finlay 2017 dugouts #01.dxf,N+C IsoLink,2018/09/14 16:44:03,6.00,2.50,-29.36,38.30,229.48,0.64,3.82,6.99
8,64b,8_64b_Finlay dugouts 2017 POM #03.dxf,N+C IsoLink,2018/09/19 12:05:20,6.00,0.17,-22.66,47.61,249.68,0.79,4.16,6.12
20,66a,20_66a_Finlay dugouts 2017 POM #03.dxf,N+C IsoLink,2018/09/19 13:40:50,6.00,3.55,-20.16,45.14,320.01,0.75,5.33,8.27
10,66b,10_66b_Finlay dugouts 2017 POM #03.dxf,N+C IsoLink,2018/09/19 12:21:14,6.00,1.56,-20.28,62.94,433.94,1.05,7.23,8.04
19,66c,19_SP10 1B_Finlay 2017 dugouts #01.dxf,N+C IsoLink,2018/09/14 13:01:17,6.00,3.18,-29.03,31.69,212.60,0.53,3.54,7.83
41,67a,41_SA10 1A_Finlay 2017 dugouts #01.dxf,N+C IsoLink,2018/09/14 15:56:19,6.00,1.54,-38.88,107.54,566.38,1.79,9.44,6.14
21,67b,21_67b_Finlay dugouts 2018 POM #02.dxf,N+C IsoLink,2018/09/18 16:39:43,6.00,13.95,-30.41,65.84,335.63,1.10,5.59,5.95
10,69a,10_69a_Finlay dugouts 2018 POM #02.dxf,N+C IsoLink,2018/09/18 15:12:14,6.00,1.43,-33.00,67.29,309.41,1.12,5.16,5.36
22,69b,22_69b_Finlay dugouts 2018 POM #02.dxf,N+C IsoLink,2018/09/18 16:47:41,6.00,2.44,-23.39,35.09,263.39,0.58,4.39,8.76
17,69c,17_SS10 3B_Finlay 2017 dugouts #01.dxf,N+C IsoLink,2018/09/14 12:45:22,6.00,4.29,-28.60,60.16,300.55,1.00,5.01,5.83
9,70a,9_70a_Finlay dugouts 2018 POM #02.dxf,N+C IsoLink,2018/09/18 15:04:16,6.00,2.96,-24.97,33.69,199.53,0.56,3.33,6.91
35,70b,35_70b_Finlay dugouts 2017 POM #03.dxf,N+C IsoLink,2018/09/19 15:40:15,6.00,,,,,,,
32,70c,32_SP11 1A_Finlay 2017 dugouts #01.dxf,N+C IsoLink,2018/09/14 14:44:42,6.00,4.01,-32.95,38.44,208.51,0.64,3.48,6.33
12,74a,12_SA11 5B_Finlay 2017 dugouts #01.dxf,N+C IsoLink,2018/09/14 12:05:36,6.00,2.08,-38.87,35.21,229.21,0.59,3.82,7.59
13,74a,13_rep_Finlay 2017 dugouts #01.dxf,N+C IsoLink,2018/09/14 12:13:33,6.00,2.18,-38.80,36.35,224.54,0.61,3.74,7.21
9,74b,9_74b_Finlay dugouts 2017 POM #03.dxf,N+C IsoLink,2018/09/19 12:13:17,6.00,1.01,-33.66,39.13,288.48,0.65,4.81,8.60
33,74c,33_74c_Finlay dugouts 2017 POM #03.dxf,N+C IsoLink,2018/09/19 15:24:20,6.00,-0.15,-26.87,89.08,581.13,1.48,9.69,7.61
19,7a,19_7a_Finlay dugouts 2017 POM #03.dxf,N+C IsoLink,2018/09/19 13:32:52,6.00,2.49,-16.98,189.33,1877.15,3.16,31.29,11.57
11,8ac,11_8ac_Finlay dugouts 2018 POM #02.dxf,N+C IsoLink,2018/09/18 15:20:11,6.00,1.57,-34.14,42.14,263.66,0.70,4.39,7.30
34,8b,34_8b_Finlay dugouts 2018 POM #02.dxf,N+C IsoLink,2018/09/18 18:23:08,6.00,-1.57,-31.73,54.42,372.44,0.91,6.21,7.98
7,8c,7_8c_Finlay dugouts 2017 POM #03.dxf,N+C IsoLink,2018/09/19 11:57:22,6.00,6.96,-23.71,33.84,260.30,0.56,4.34,8.98
35,8ce,35_8ce_Finlay dugouts 2018 POM #02.dxf,N+C IsoLink,2018/09/18 18:31:06,6.00,4.71,-30.76,14.16,89.67,0.24,1.49,7.39
33,8f,33_8f_Finlay dugouts 2018 POM #02.dxf,N+C IsoLink,2018/09/18 18:15:11,6.00,0.23,-24.95,140.23,820.91,2.34,13.68,6.83
29,8g,29_8g_Finlay dugouts 2017 POM #03.dxf,N+C IsoLink,2018/09/19 14:52:29,6.00,2.60,-29.01,36.54,272.16,0.61,4.54,8.69
40,8h,40_8h_Finlay dugouts 2018 POM #02.dxf,N+C IsoLink,2018/09/18 19:10:53,6.00,4.82,-23.25,44.17,322.90,0.74,5.38,8.53
18,CD July 12,18_CD July 12_Finlay dugouts 2017 POM #03.dxf,N+C IsoLink,2018/09/19 13:24:54,6.00,4.37,-26.56,24.92,155.47,0.42,2.59,7.28
35,CD June 19,35_SA10 1B_Finlay 2017 dugouts #01.dxf,N+C IsoLink,2018/09/14 15:08:35,6.00,5.78,-26.20,25.14,155.76,0.42,2.60,7.23
16,CD May 26,16_SP99 1A_Finlay 2017 dugouts #01.dxf,N+C IsoLink,2018/09/14 12:37:25,6.00,6.94,-24.52,16.61,132.94,0.28,2.22,9.34
45,SD June 19,45_SA99 1B_Finlay 2017 dugouts #01.dxf,N+C IsoLink,2018/09/14 16:28:08,6.00,4.30,-26.38,15.53,105.89,0.26,1.76,7.96
34,SD May 26,34_SD May 26_Finlay dugouts 2017 POM #03.dxf,N+C IsoLink,2018/09/19 15:32:17,6.00,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
