Port,Sample,Sample Name #2,Sample Name #3,Time,Wt.[mg],d15NAIR,d13CVPDB,mgN,mgC,%N,%C,C/N,1000 N/C
8,D31C JUL 02,D31C JUL 02_Finlay POM 2019 #07.dxf,N2 CO2,2021/02/04 14:42:57,6.00,1.68,-27.18,30.59,222.92,0.51,3.72,8.50,
9,D31B JUL 02,D31B JUL 02_Finlay POM 2019 #07.dxf,N2 CO2,2021/02/04 14:53:56,6.00,3.26,-21.18,18.63,146.87,0.31,2.45,9.20,
10,D31B JUL 02,D31B JUL 02_Finlay POM 2019 #07(1).dxf,N2 CO2,2021/02/04 15:04:52,6.00,3.03,-21.37,20.69,160.95,0.34,2.68,9.08,
11,W65 JUL 12,W65 JUL 12_Finlay POM 2019 #07.dxf,N2 CO2,2021/02/04 15:15:49,6.00,1.86,-32.46,19.12,160.11,0.32,2.67,9.77,
12,W65 JUL 12,W65 JUL 12_Finlay POM 2019 #07(1).dxf,N2 CO2,2021/02/04 15:26:47,6.00,1.78,-32.42,19.09,164.16,0.32,2.74,10.03,
13,rep,rep_Finlay POM 2019 #07.dxf,N2 CO2,2021/02/04 15:37:48,6.00,1.99,-32.47,19.15,158.65,0.32,2.64,9.67,
16,W31C JUL 02,W31C JUL 02_Finlay POM 2019 #07(2).dxf,N2 CO2,2021/02/04 16:10:41,6.00,6.32,-27.57,22.26,143.27,0.37,2.39,7.51,
17,W57A JUL 09,W57A JUL 09_Finlay POM 2019 #07.dxf,N2 CO2,2021/02/04 16:21:42,6.00,4.80,-29.65,20.91,157.08,0.35,2.62,8.77,
18,D8E JUL 11,D8E JUL 11_Finlay POM 2019 #07.dxf,N2 CO2,2021/02/04 16:32:39,6.00,-2.80,-31.01,50.08,348.92,0.83,5.82,8.13,
19,W8G JUL 11,W8G JUL 11_Finlay POM 2019 #07.dxf,N2 CO2,2021/02/04 16:43:36,6.00,1.14,-21.97,19.98,139.74,0.33,2.33,8.16,
20,W8G JUL 11,W8G JUL 11_Finlay POM 2019 #07(1).dxf,N2 CO2,2021/02/04 16:54:42,6.00,2.18,-22.23,21.47,145.88,0.36,2.43,7.93,
21,W56D JUL 15,W56D JUL 15_Finlay POM 2019 #07.dxf,N2 CO2,2021/02/04 17:05:43,6.00,7.45,-17.56,15.09,188.98,0.25,3.15,14.61,
22,D65 JUL 12,D65 JUL 12_Finlay POM 2019 #07.dxf,N2 CO2,2021/02/04 17:16:44,6.00,1.14,-31.42,14.36,116.86,0.24,1.95,9.49,
23,D65 JUL 12,D65 JUL 12_Finlay POM 2019 #07(1).dxf,N2 CO2,2021/02/04 17:27:43,6.00,1.62,-31.62,14.36,115.90,0.24,1.93,9.41,
24,rep,rep_Finlay POM 2019 #07(1).dxf,N2 CO2,2021/02/04 17:38:40,6.00,1.25,-31.46,14.64,118.02,0.24,1.97,9.40,
28,W75 JUN 25,W75 JUN 25_Finlay POM 2019 #07.dxf,N2 CO2,2021/02/04 18:22:30,6.00,0.34,-35.33,22.88,150.96,0.38,2.52,7.70,
29,W75 JUN 25,W75 JUN 25_Finlay POM 2019 #07(1).dxf,N2 CO2,2021/02/04 18:33:27,6.00,0.07,-35.77,23.38,149.56,0.39,2.49,7.46,
30,W56D JUL 15,W56D JUL 15_Finlay POM 2019 #07(1).dxf,N2 CO2,2021/02/04 18:44:29,6.00,7.98,-18.04,17.92,217.32,0.30,3.62,14.15,
31,W56D JUL 15,W56D JUL 15_Finlay POM 2019 #07(2).dxf,N2 CO2,2021/02/04 18:55:26,6.00,0.14,-37.51,100.17,450.67,1.67,7.51,5.25,
32,D56D JUL 15,D56D JUL 15_Finlay POM 2019 #07.dxf,N2 CO2,2021/02/04 19:06:23,6.00,4.47,-19.76,16.81,151.77,0.28,2.53,10.53,
33,D75 JUN 24,D75 JUN 24_Finlay POM 2019 #07.dxf,N2 CO2,2021/02/04 19:17:20,6.00,4.72,-19.74,15.64,143.41,0.26,2.39,10.70,
34,D75 JUN 24,D75 JUN 24_Finlay POM 2019 #07(1).dxf,N2 CO2,2021/02/04 19:28:19,6.00,0.15,-37.56,103.38,467.57,1.72,7.79,5.28,
35,W57A JUL 09,W57A JUL 09_Finlay POM 2019 #07(1).dxf,N2 CO2,2021/02/04 19:39:16,6.00,5.24,-29.72,21.46,160.68,0.36,2.68,8.73,
36,W5 JUN 27,W5 JUN 27_Finlay POM 2019 #07.dxf,N2 CO2,2021/02/04 19:50:13,6.00,3.30,-21.66,20.75,228.36,0.35,3.81,12.84,
37,rep,rep_Finlay POM 2019 #07(2).dxf,N2 CO2,2021/02/04 20:01:11,6.00,2.98,-21.75,19.28,213.87,0.32,3.56,12.94,
40,D57A JUL 09,D57A JUL 09_Finlay POM 2019 #07.dxf,N2 CO2,2021/02/04 20:34:04,6.00,-1.64,-18.13,46.96,268.60,0.78,4.48,6.67,
41,W61B JUN 25,W61B JUN 25_Finlay POM 2019 #07.dxf,N2 CO2,2021/02/04 20:45:03,6.00,3.37,-21.70,20.43,167.26,0.34,2.79,9.55,
42,D61B JUN 25,D61B JUN 25_Finlay POM 2019 #07.dxf,N2 CO2,2021/02/04 20:56:00,6.00,-1.68,-25.19,67.95,495.01,1.13,8.25,8.50,
43,W61B JUN 25,W61B JUN 25_Finlay POM 2019 #07(1).dxf,N2 CO2,2021/02/04 21:06:57,6.00,4.71,-21.79,21.46,166.11,0.36,2.77,9.03,
44,W5 JUN 27,W5 JUN 27_Finlay POM 2019 #07(1).dxf,N2 CO2,2021/02/04 21:17:55,6.00,3.17,-21.65,19.84,221.17,0.33,3.69,13.01,
45,D61B JUN 25,D61B JUN 25_Finlay POM 2019 #07(1).dxf,N2 CO2,2021/02/04 21:28:54,6.00,-1.55,-25.13,69.84,505.42,1.16,8.42,8.44,
46,D76 JUL 05,D76 JUL 05_Finlay POM 2019 #07.dxf,N2 CO2,2021/02/04 21:39:51,6.00,-0.96,-13.97,171.19,1026.35,2.85,17.11,6.99,
47,rep,rep_Finlay POM 2019 #07(3).dxf,N2 CO2,2021/02/04 21:50:48,6.00,-0.83,-13.82,195.67,1166.98,3.26,19.45,6.96,
5,D58B AUG 22,D58B AUG 22_Finlay POM 2019 #08.dxf,N2 CO2,2021/02/05 11:02:56,6.00,-3.20,-20.64,109.71,947.10,1.83,15.79,10.07,
6,D55B JUL 23,D55B JUL 23_Finlay POM 2019 #08.dxf,N2 CO2,2021/02/05 11:13:53,6.00,0.14,-30.03,45.51,288.36,0.76,4.81,7.39,
7,D55B JUL 23,D55B JUL 23_Finlay POM 2019 #08(1).dxf,N2 CO2,2021/02/05 11:24:52,6.00,0.28,-29.51,42.74,268.32,0.71,4.47,7.32,
8,D74C AUG 26,D74C AUG 26_Finlay POM 2019 #08.dxf,N2 CO2,2021/02/05 11:35:49,6.00,2.03,-28.24,17.65,139.05,0.29,2.32,9.19,
9,D74C AUG 26,D74C AUG 26_Finlay POM 2019 #08(1).dxf,N2 CO2,2021/02/05 11:46:47,6.00,2.19,-28.13,16.19,129.92,0.27,2.17,9.36,
10,D69A AUG 16,D69A AUG 16_Finlay POM 2019 #08.dxf,N2 CO2,2021/02/05 11:57:45,6.00,4.99,-28.31,61.86,330.16,1.03,5.50,6.23,
11,D69A AUG 16,D69A AUG 16_Finlay POM 2019 #08(1).dxf,N2 CO2,2021/02/05 12:08:43,6.00,4.77,-28.40,60.26,319.71,1.00,5.33,6.19,
12,D67A AUG 06,D67A AUG 06_Finlay POM 2019 #08.dxf,N2 CO2,2021/02/05 12:19:40,6.00,6.27,-31.10,94.76,603.89,1.58,10.06,7.43,
13,rep,rep_Finlay POM 2019 #08.dxf,N2 CO2,2021/02/05 12:30:37,6.00,6.29,-31.00,80.30,517.39,1.34,8.62,7.52,
16,D67A AUG 06,D67A AUG 06_Finlay POM 2019 #08(1).dxf,N2 CO2,2021/02/05 13:03:31,6.00,6.23,-31.09,93.21,602.02,1.55,10.03,7.54,
17,D60B AUG 20,D60B AUG 20_Finlay POM 2019 #08.dxf,N2 CO2,2021/02/05 13:14:28,6.00,4.82,-22.04,8.98,63.19,0.15,1.05,8.21,
18,D60B AUG 20,D60B AUG 20_Finlay POM 2019 #08(1).dxf,N2 CO2,2021/02/05 13:25:27,6.00,4.76,-21.54,8.79,60.85,0.15,1.01,8.07,
19,D69B AUG 16,D69B AUG 16_Finlay POM 2019 #08.dxf,N2 CO2,2021/02/05 13:36:24,6.00,2.18,-27.44,16.97,156.17,0.28,2.60,10.74,
20,D69B AUG 16,D69B AUG 16_Finlay POM 2019 #08(1).dxf,N2 CO2,2021/02/05 13:47:21,6.00,2.25,-27.41,16.91,156.13,0.28,2.60,10.77,
21,D7B AUG 20,D7B AUG 20_Finlay POM 2019 #08.dxf,N2 CO2,2021/02/05 13:58:20,6.00,1.11,-23.53,12.50,85.59,0.21,1.43,7.99,
22,D7B AUG 20,D7B AUG 20_Finlay POM 2019 #08(1).dxf,N2 CO2,2021/02/05 14:09:18,6.00,1.90,-23.74,11.51,79.90,0.19,1.33,8.10,
23,D62E AUG 01,D62E AUG 01_Finlay POM 2019 #08.dxf,N2 CO2,2021/02/05 14:20:14,6.00,23.16,-32.45,57.40,311.22,0.96,5.19,6.33,
24,rep,rep_Finlay POM 2019 #08(1).dxf,N2 CO2,2021/02/05 14:31:12,6.00,23.32,-32.74,62.67,333.16,1.04,5.55,6.20,
28,D62E AUG 01,D62E AUG 01_Finlay POM 2019 #08(1).dxf,N2 CO2,2021/02/05 15:15:05,6.00,23.21,-32.32,59.62,329.00,0.99,5.48,6.44,
29,D59B AUG 23,D59B AUG 23_Finlay POM 2019 #08.dxf,N2 CO2,2021/02/05 15:26:03,6.00,4.63,-22.75,6.95,54.55,0.12,0.91,9.16,
30,D59B AUG 23,D59B AUG 23_Finlay POM 2019 #08(1).dxf,N2 CO2,2021/02/05 15:36:59,6.00,4.29,-22.69,6.71,54.90,0.11,0.92,9.54,
31,D74B AUG 26,D74B AUG 26_Finlay POM 2019 #08.dxf,N2 CO2,2021/02/05 15:47:56,6.00,3.14,-25.86,45.06,356.01,0.75,5.93,9.22,
32,D74B AUG 26,D74B AUG 26_Finlay POM 2019 #08(1).dxf,N2 CO2,2021/02/05 15:58:55,6.00,3.78,-25.74,44.91,338.00,0.75,5.63,8.78,
33,D70C AUG 16,D70C AUG 16_Finlay POM 2019 #08.dxf,N2 CO2,2021/02/05 16:09:53,6.00,7.27,-32.52,17.92,105.07,0.30,1.75,6.84,
34,D70C AUG 16,D70C AUG 16_Finlay POM 2019 #08(1).dxf,N2 CO2,2021/02/05 16:20:50,6.00,7.11,-32.06,16.59,100.24,0.28,1.67,7.05,
35,D64B AUG 09,D64B AUG 09_Finlay POM 2019 #08.dxf,N2 CO2,2021/02/05 16:31:48,6.00,-0.95,-23.13,60.72,304.51,1.01,5.08,5.85,
36,D61A JUL 30,D61A JUL 30_Finlay POM 2019 #08.dxf,N2 CO2,2021/02/05 16:42:46,6.00,6.57,-28.94,38.63,203.44,0.64,3.39,6.14,
37,rep,rep_Finlay POM 2019 #08(2).dxf,N2 CO2,2021/02/05 16:53:43,6.00,6.69,-28.99,37.91,198.80,0.63,3.31,6.12,
40,D61A JUL 30,D61A JUL 30_Finlay POM 2019 #08(1).dxf,N2 CO2,2021/02/05 17:26:36,6.00,6.45,-28.88,39.76,210.78,0.66,3.51,6.18,
41,D8G AUG 13,D8G AUG 13_Finlay POM 2019 #08.dxf,N2 CO2,2021/02/05 17:37:34,6.00,3.01,-29.15,22.78,141.12,0.38,2.35,7.23,
42,D8G AUG 13,D8G AUG 13_Finlay POM 2019 #08(1).dxf,N2 CO2,2021/02/05 17:48:31,6.00,2.78,-29.39,22.63,135.27,0.38,2.25,6.97,
43,D67B AUG 07,D67B AUG 07_Finlay POM 2019 #08.dxf,N2 CO2,2021/02/05 17:59:29,6.00,7.52,-26.38,16.15,124.81,0.27,2.08,9.02,
44,D67B AUG 07,D67B AUG 07_Finlay POM 2019 #08(1).dxf,N2 CO2,2021/02/05 18:10:27,6.00,7.45,-26.43,15.36,120.67,0.26,2.01,9.17,
45,D63A AUG 12,D63A AUG 12_Finlay POM 2019 #08.dxf,N2 CO2,2021/02/05 18:21:24,6.00,2.19,-33.63,38.71,220.25,0.65,3.67,6.64,
46,D63A AUG 12,D63A AUG 12_Finlay POM 2019 #08(1).dxf,N2 CO2,2021/02/05 18:32:23,6.00,1.89,-33.56,38.57,217.39,0.64,3.62,6.58,
47,rep,rep_Finlay POM 2019 #08(3).dxf,N2 CO2,2021/02/05 18:43:24,6.00,1.95,-33.45,39.75,222.70,0.66,3.71,6.54,
5,W31A JUL 03,W31A JUL 03_Finlay POM 2019 #09.dxf,N2 CO2,2021/02/11 10:59:52,6.00,4.41,-24.33,60.23,521.93,1.00,8.70,10.11,
6,W31A JUL 03,W31A JUL 03_Finlay POM 2019 #09(1).dxf,N2 CO2,2021/02/11 11:10:48,6.00,4.60,-24.18,55.36,478.00,0.92,7.97,10.07,
7,D20 JUN 20,D20 JUN 20_Finlay POM 2019 #09.dxf,N2 CO2,2021/02/11 11:21:45,6.00,3.01,-28.31,25.31,176.01,0.42,2.93,8.11,
8,W20 JUN 20,W20 JUN 20_Finlay POM 2019 #09.dxf,N2 CO2,2021/02/11 11:32:44,6.00,3.89,-24.89,36.50,186.39,0.61,3.11,5.96,
9,W56A JUN 10,W56A JUN 10_Finlay POM 2019 #09.dxf,N2 CO2,2021/02/11 11:43:42,6.00,1.95,-24.00,8.60,58.08,0.14,0.97,7.88,
10,D52 JUN 20,D52 JUN 20_Finlay POM 2019 #09.dxf,N2 CO2,2021/02/11 11:54:39,6.00,3.37,-29.68,45.39,235.60,0.76,3.93,6.06,
11,W56C JUN 19,W56C JUN 19_Finlay POM 2019 #09.dxf,N2 CO2,2021/02/11 12:05:36,6.00,6.38,-28.84,26.25,250.55,0.44,4.18,11.14,
12,D52 JUN 20,D52 JUN 20_Finlay POM 2019 #09(1).dxf,N2 CO2,2021/02/11 12:16:34,6.00,3.34,-29.82,44.04,226.45,0.73,3.77,6.00,
13,rep,rep_Finlay POM 2019 #09.dxf,N2 CO2,2021/02/11 12:27:31,6.00,3.37,-29.76,42.70,221.13,0.71,3.69,6.04,
16,W56A JUN 19,W56A JUN 19_Finlay POM 2019 #09.dxf,N2 CO2,2021/02/11 13:00:28,6.00,2.29,-23.65,8.25,56.54,0.14,0.94,8.00,
17,D56C JUN 19,D56C JUN 19_Finlay POM 2019 #09.dxf,N2 CO2,2021/02/11 13:11:25,6.00,1.51,-33.83,27.74,149.32,0.46,2.49,6.28,
18,AM3 AUG 03,AM3 AUG 03_Finlay POM 2019 #09.dxf,N2 CO2,2021/02/11 13:22:22,6.00,8.88,-19.75,19.49,197.17,0.32,3.29,11.80,
19,AS3 AUG 03,AS3 AUG 03_Finlay POM 2019 #09.dxf,N2 CO2,2021/02/11 13:33:21,6.00,8.65,-17.00,33.36,351.66,0.56,5.86,12.30,
20,BM3 AUG 03,BM3 AUG 03_Finlay POM 2019 #09.dxf,N2 CO2,2021/02/11 13:44:19,6.00,9.23,-22.93,47.58,424.23,0.79,7.07,10.40,
21,CM3 AUG 03,CM3 AUG 03_Finlay POM 2019 #09.dxf,N2 CO2,2021/02/11 13:55:16,6.00,8.26,-27.26,23.31,180.35,0.39,3.01,9.03,
22,BD2 AUG 03,BD2 AUG 03_Finlay POM 2019 #09.dxf,N2 CO2,2021/02/11 14:06:14,6.00,9.07,-24.29,46.04,388.29,0.77,6.47,9.84,
23,CS3 AUG 03,CS3 AUG 03_Finlay POM 2019 #09.dxf,N2 CO2,2021/02/11 14:17:13,6.00,8.02,-27.32,23.86,186.29,0.40,3.10,9.11,
24,rep,rep_Finlay POM 2019 #09(1).dxf,N2 CO2,2021/02/11 14:28:10,6.00,7.93,-27.32,19.74,159.08,0.33,2.65,9.40,
28,CD3 AUG 03,CD3 AUG 03_Finlay POM 2019 #09.dxf,N2 CO2,2021/02/11 15:12:05,6.00,8.82,-27.57,35.90,288.86,0.60,4.81,9.39,
29,AD3 AUG 03,AD3 AUG 03_Finlay POM 2019 #09.dxf,N2 CO2,2021/02/11 15:23:02,6.00,9.03,-24.24,35.82,315.99,0.60,5.27,10.29,
30,BS3 AUG 03,BS3 AUG 03_Finlay POM 2019 #09.dxf,N2 CO2,2021/02/11 15:34:00,6.00,8.86,-22.80,34.95,345.14,0.58,5.75,11.52,
5,DIL AUG 06,DIL AUG 06_Finlay POM 2019 #10.dxf,N2 CO2,2021/02/24 11:39:12,3.62,4.84,-30.00,46.11,317.40,1.27,8.77,8.03,
6,PRI AUG 06,PRI AUG 06_Finlay POM 2019 #10.dxf,N2 CO2,2021/02/24 11:50:09,4.68,5.67,-30.57,43.21,237.10,0.92,5.07,6.40,
7,COW AUG 06,COW AUG 06_Finlay POM 2019 #10.dxf,N2 CO2,2021/02/24 12:01:06,2.85,7.29,-26.46,13.93,96.52,0.49,3.39,8.08,
8,OAT AUG 06,OAT AUG 06_Finlay POM 2019 #10.dxf,N2 CO2,2021/02/24 12:12:15,2.93,8.80,-29.71,43.22,299.29,1.48,10.21,8.08,
9,SWIM AUG 06,SWIM AUG 06_Finlay POM 2019 #10.dxf,N2 CO2,2021/02/24 12:23:20,3.45,4.00,-29.29,37.65,245.63,1.09,7.12,7.61,
10,CAN AUG 06,CAN AUG 06_Finlay POM 2019 #10b.dxf,N2 CO2,2021/02/25 10:20:17,2.63,4.26,-25.63,48.26,262.26,1.83,9.97,6.34,
11,COW JULY 23,COW JULY 23_Finlay POM 2019 #10b.dxf,N2 CO2,2021/02/25 10:31:16,2.27,8.03,-27.30,14.20,87.43,0.63,3.85,7.18,
12,RAV AUG 26,RAV AUG 26_Finlay POM 2019 #10b.dxf,N2 CO2,2021/02/25 10:42:13,2.13,3.31,-27.84,9.77,78.69,0.46,3.69,9.40,
15,OIL JULY 23,OIL JULY 23_Finlay POM 2019 #10b.dxf,N2 CO2,2021/02/25 11:15:05,2.11,5.62,-30.46,24.08,171.17,1.14,8.11,8.29,
16,CAN JULY 23,CAN JULY 23_Finlay POM 2019 #10b.dxf,N2 CO2,2021/02/25 11:26:02,4.82,8.24,-23.34,73.72,416.36,1.53,8.64,6.59,
17,RAV JULY 09,RAV JULY 09_Finlay POM 2019 #10b.dxf,N2 CO2,2021/02/25 11:37:01,3.25,13.78,-31.70,45.00,238.84,1.38,7.35,6.19,
18,OAT JULY 23,OAT JULY 23_Finlay POM 2019 #10b.dxf,N2 CO2,2021/02/25 11:47:58,3.67,8.89,-29.99,73.23,389.16,2.00,10.60,6.20,
19,PRI JULY 23,PRI JULY 23_Finlay POM 2019 #10b.dxf,N2 CO2,2021/02/25 11:58:55,3.14,5.42,-24.18,27.58,215.52,0.88,6.86,9.11,
20,PRI JULY 209,PRI JULY 209_Finlay POM 2019 #10b.dxf,N2 CO2,2021/02/25 12:09:52,2.38,4.33,-26.70,13.97,106.99,0.59,4.50,8.93,
21,OIL JULY 09,OIL JULY 09_Finlay POM 2019 #10b.dxf,N2 CO2,2021/02/25 12:20:50,2.60,7.13,-33.45,44.94,249.55,1.73,9.60,6.48,
22,CAN JULY 09,CAN JULY 09_Finlay POM 2019 #10b.dxf,N2 CO2,2021/02/25 12:31:48,4.67,3.74,-28.14,40.78,243.69,0.87,5.22,6.97,
23,COW JULY 09,COW JULY 09_Finlay POM 2019 #10b.dxf,N2 CO2,2021/02/25 12:42:45,2.49,7.91,-27.70,19.40,115.30,0.78,4.63,6.94,
27,SWIM JULY 23,SWIM JULY 23_Finlay POM 2019 #10b.dxf,N2 CO2,2021/02/25 13:26:34,4.29,1.56,-33.61,29.58,176.48,0.69,4.11,6.96,
28,SWIM JULY 09,SWIM JULY 09_Finlay POM 2019 #10b.dxf,N2 CO2,2021/02/25 13:37:33,7.73,2.67,-24.03,40.69,356.68,0.53,4.61,10.23,
29,OAT JULY 09,OAT JULY 09_Finlay POM 2019 #10b.dxf,N2 CO2,2021/02/25 13:48:31,2.08,2.32,-28.81,22.46,157.75,1.08,7.58,8.19,
