Site,Sorting,Site_ID,Month,Date,Time,latitude,longitude,Air_temp,Cloud (%),Wind_km.hr,Field_team,Secchi.m,Depth.m,Max_depth.m,DO Calibration%,Sample_depth,Depth_grouped,Surface_Temp,Surface_DO.sat,Surface_DO.mg.L,Surface_Cond,Surface_Sal.ppt,Surface_pH,Deep_Temp,Deep_DO.sat,Deep_DO.mg.L,Deep_Cond,Deep_Sal.ppt,Deep_pH,TDS.mg.L,YSI_atm,Tows,General Comments,Floating_chamberY/N,Chl_total,Chla,NH3.mg.N.L,SRP.mg.P.L,Nitrate_Nitrite.ug.N.L,TP.mg.P.L,TN.ug.N.L,NP_ratio,DIC.mg.L,DIC.uM,DOC.mg.L,DOC.uM,pCO2,CO2.uM,CO2.uM.error,pCH4,CH4.uM,CH4.uM.error,pN2O,N2O.nM,N2O.nM.error
31B,D31B43696,31B,August,19-Aug-19,12:42:00,51.13848,-107.53661,25,0,4.6,"AK, MM",0.9,0.9,0.9,100.5,0,0,16.8,77.1,7.43,1868,1.14,8.95,16.4,84.3,8.21,1845,1.14,8.98,1027.133881,698.2,1,NA,N,4.347367375,2.706584986,0.12,0.2,2.98,0.32,2800,14,76.944,6406.661116,45.596,3796.502914,215.1447876,8.46068246,3.091186452,884.8649027,1.335064469,0.45047005,0.181226134,5.266208458,1.959230805
45D,D45D43683,45D,August,6-Aug-19,11:34:00,49.85824,-101.71197,24.8,95,12.7,"SC, SC, RR",1.08,1.2,1.2,87.2,0,0,21.4,57.4,5.06,1181,0.63,8.84,19.5,2,0.17,114,0.64,8.49,636.3286323,705.1,3,"Lots of cattails, algae, macrophytes free in center",N,10.29599453,6.217193217,0.08,0.57,7.93,0.68,2250,3.947368421,71.998,5994.837635,35.054,2918.734388,457.554818,15.89212996,0.192756533,940.8255786,1.308111615,0.302586697,0.163922021,4.181819614,0.245982937
61C,D61C43676,61C,July,30-Jul-19,02:54:00,50.25336,-106.07265,27.7,30,8.5,"AK, MM",0.61,1.5,1.5,91.9,0,0,21.1,166.8,15.08,409,0.21,9.91,17.9,649.2,4.66,379.1,0.21,9.27,210.9407971,695.6,NA,Rad collected at 3:15,N,175.287057,181.0515528,0.13,0.01,3.93,0.05,1950,195,31.791,2647.04413,28.354,2360.865945,58.47480328,2.024858736,0.281794229,819.1090529,1.133120638,0.094589653,0.274086056,6.977787362,0.147938028
27B,D27B43684,27B,August,7-Aug-19,11:30:00,49.52956,-101.91077,21,0,4.3,"SC, SC, RR",0.91,3,3,92.7,0,0,22.7,113.1,9.76,172.5,0.08,9.11,14.1,0.8,0.08,241.4,0.15,0.49,87.71899952,710.2,3,"Filamentous cyanos, cattails in middle",N,36.90396597,31.41494399,0.02,0.19,204.04,0.23,965.63,5.082263158,24.874,2071.10741,13.433,1118.484596,74.06166473,2.503598628,0.201118311,698.0018927,0.956585532,0.019136422,0.26442382,6.558836497,0.1646827
44A,D44A43699,44A,August,22-Aug-19,14:19:00,52.7192,-108.88517,16.5,100,3.4,"SE, MM",0.89,4.2,4.2,79.5,0,0,17.9,98,9.25,328,0.18,8.51,16.7,70.1,6.81,323.1,0.19,8.38,168.4927562,704.7,3,NA,N,15.45361138,13.35093217,0.02,0.00702,1.94,0.01,537.05,76.502849,35.794,2980.349709,10.527,876.519567,228.111976,8.795650176,0.203121054,606.2440868,0.907220226,0.04328922,0.278503625,7.931656431,0.105945753
31A,D31A43696,31A,August,19-Aug-19,14:12:00,51.14618,-107.53635,24.7,0,7.4,"AK, MM",0.91,2,2,95.9,0,0,19.2,100.9,9.11,6370,3.96,8.66,15.7,31.1,3.08,5912,3.98,8.59,3623.601896,700.2,1,Shakey bottle completed with van dorn,N,9.929177,7.921918833,0.14,0.57,7.12,0.71,3880,6.807017544,118.004,9825.478768,60.233,5015.2373020000005,827.5085445,29.95795219,0.25786875,627.1452352,0.886207436,0.034744936,0.255079588,6.774330401,0.018605206
7B,D7B43697,7B,August,20-Aug-19,08:35:00,51.42598,-107.00045,17.3,0,0,"AK, MM",1.15,2.2,2.2,98.3,0,0,15.7,90.3,8.97,307.9,0.18,9.65,15.4,54.8,5.55,306.6,0.18,9.41,157.9896965,720,3,Coyotes,N,21.81352786,15.80992104,0.06,0.04,31.17,0.04,637.57,15.93925,22.145,1843.8801,10.558,879.1007494,42.10769248,1.775007656,0.726720486,543.391322,0.871473971,0.003479947,0.251155082,7.846514688,0.034122571
36,D3643689,36,August,12-Aug-19,16:07:00,52.5202,-105.21881,22.2,99,0,"SE, SC",1.09,1.1,1.1,102.8,0,0,19.2,131.2,12.18,1360,0.78,9.04,17.2,10.7,1.02,1324,0.79,8.51,738.013412,715.3,2,Tons of snails and flaoting macrophytes,N,NA,NA,0.09,0.17,12.53,0.18,2090,12.29411765,52.782,4394.837635,37.797,3147.127394,227.1915479,8.528528634,0.181009234,521.1256199,0.767472906,0.053475224,0.206538989,5.711192703,0.075813613
52,D5243669,52,July,23-Jul-19,10:15:00,49.85825,-101.71197,24.3,90,0,"AK, RR",0.62,1.2,1.2,102,0,0,21.2,86.9,7.69,869,0.46,9.23,19.3,25.3,2.35,843,0.46,9.11,459.3283789,715.5,NA,NA,N,52.70788733,46.189681,0.03,0.33,4.17,0.36,1500,4.545454545,65.354,5441.631973,27.463,2286.677769,174.9325341,6.205799354,0.335648495,540.4628048,0.766339167,0.021317814,0.208041984,5.423526512,0.073476038
60B,D60B43697,60B,August,20-Aug-19,09:44:00,51.67617,-107.29414,16.5,0,3,"SE, SC, Linn",1,1.6,1.6,85.1,0,0,15.7,69.3,6.9,203.7,0.12,9.72,15.2,68.7,688,201.5,0.12,9.78,103.8235079,720.2,1,Lots of macrophytes. Could see secchi for 1.0m before it was covered by macrophytes,N,10.28652495,7.576584467,0.1,0.13,41.93,0.16,1750,13.46153846,22.608,1882.431307,22.625,1883.846794,44.73741335,1.886929483,0.147049491,468.9384111,0.752568132,0.036159245,0.223247576,6.979132224,0.041902683
8F,D8F43689,8F,August,12-Aug-19,14:16:00,52.61552,-104.81329,21.5,90,2.9,"RR, AK, CD",0.045,0.5,0.5,91.8,0,0,19.4,133.9,13.67,904,0.4,8.37,15.6,33.7,3.4,852,0.52,8.05,479.1690869,715.2,NA,Cows have access,N,64.5131595,49.72354425,9.44,0.42,10200,1.11,25700,61.19047619,129.403,10774.6045,67.013,5579.766861,3267.018361,122.1174544,3.655181693,503.8255855,0.74062058099999994,0.125868355,0.153047198,4.214860775,0.085018215
62B,D62B43678,62B,August,1-Aug-19,10:43:00,49.85824,-101.71197,29.5,30,4.1,"MM, AK",0.74,0.9,0.9,89.1,0,0,21.6,79.6,7.01,1206,0.65,9.53,20.8,81,7.25,1185,0.65,9.52,650.5244428,701.3,3,"GHG temp out measured with YSI, foam around edges of dugout, Radon collected at 11:14",N,3.331285608,2.051280225,0.08,0.00667,6.12,0.07,2470,370.3148426,80.657,6715.82015,38.073,3170.108243,141.5656427,4.862160109,0.421474304,490.3973688,0.67544378,0.166819955,0.266307046,6.71605686,0.116228143
59A,D59A43700,59A,August,23-Aug-19,10:56:00,52.61403,-107.40232,18.7,0,9.9,"SE, MM",0.39,2,2,104.4,0,0,16.1,86.9,8.56,170.6,0.1,9.54,13.4,0.8,0.08,190,0.12,7.29,86.74026511,712.9,1,"Carboy filled by dunking, filtered with 80um at lab before filtering",N,178.6076118,165.9760683,0.26,0.02,129.1,0.06,1910,95.5,25.944,2160.199833,21.506,1790.674438,65.76060052,2.711744403,0.579547415,424.2807737,0.668138099,0.04643616,0.284424383,8.687888764,0.071279025
26B,D26B43692,26B,August,15-Aug-19,13:19:00,49.26095,-108.40903,19.2,10,11,"SE, MM",0.4,2.8,2.8,106.9,0,0,20,122.6,11.14,333,0.18,9.24,15.2,0.6,0.06,420.6,0.25,6.62,171.1076512,678.6,2,Green filamentous algae,N,156.1736473,139.7292777,0.11,0.38,115.47,0.49,2490,6.552631579,45.888,3820.815987,32.319,2691.007494,202.1097653,7.049955201,2.467802342,481.0070019,0.663670426,0.22428141,0.284879561,7.317201395,0.131695549
74B,D74B43703,74B,August,26-Aug-19,13:42:00,51.5536,102.76508,17.1,90,10.1,"AK, MM, RR",1.04,2.2,2.2,94.3,0,0,20.1,123.5,11.21,328.7,0.17,9.07,15.4,1.8,0.18,333,0.2,7.5,168.858791,711.6,3,NA,N,82.01197177,69.36646398,0.08,0.00844,5.88,0.05,1500,177.7251185,43.374,3611.490425,25.713,2140.965862,107.2542756,3.911885856,0.59717538,453.3766709,0.65468594,0.132284305,0.246787617,6.627107993,0.253550706
14B,D14B43675,14B,July,29-Jul-19,12:02:00,50.99505,-104.68559,21.5,0,4.7,"AK, MM",0.51,1.2,1.2,85,0,0,21.2,95.9,8.45,1062,0.57,9.36,17.6,69.3,6.66,989,0.57,9.34,568.783195,715.5,NA,Dog at dugout,Y,66.3005455,55.48769533,0.1,0.25,1.99,0.31,1990,7.96,49.342,4108.409659,33.387,2779.933389,91.03948488,3.228022347,0.50858462,456.5493915,0.646913302,0.07138233,0.231521352,6.031688897,0.051867743
69C,D69C43693,69C,August,16-Aug-19,09:10:00,49.29763,-109.10854,14,1,9.4,"SE, MM",0.57,2.4,2.4,85.2,0,0,17.3,83.7,8.03,203.2,0.11,9.3,16.6,3.1,0.31,211.7,0.12,8.87,103.5649542,674.9,2,"Direct cattle access, lots of macrophytes on the short ends of the dugout",N,23.21271633,17.76888617,0.08,0.2,4.1,0.26,1290,6.45,29.374,2445.795171,22.143,1843.713572,42.95674181,1.616022013,0.158635691,443.7575845,0.644463271,0.013372873,0.251799342,7.003548498,0.044963305
64C,D64C43696,64C,August,19-Aug-19,13:53:00,50.79424,-107.93133,22.3,0,3.8,"SE, SC, Linn",0.87,2,2,98.4,0,0,19.7,87.7,8.03,456.7,0.25,9.15,15.4,70.4,7.04,415,0.25,9.13,235.9990299,699.3,1,NA,N,4.738219672,2.457866744,0.17,0.03,149.57,0.07,2730,91,43.477,3620.066611,40.608,3381.182348,162.8852811,5.904864911,0.375062492,445.7499426,0.637371847,0.008725739,0.291811251,7.792198278,0.0531476
15B,D15B43683,15B,August,6-Aug-19,15:13:00,49.52958,-101.91078,25.2,40,13,"AK, MM",1.3,3.4,3.4,108.6,0,0,24.3,59.8,4.99,891,0.44,7.83,12.4,0.8,0.09,674,0.44,7.07,471.7992355,705,2,"Radon collected at 3:17 pm, gusty winds, floating chamber with 60 mL syringe",Y,7.266653267,5.511291567,0.02,1.03,816.25,1.02,3110,3.019417476,60.556,5042.131557,32.633,2717.152373,2366.919585,75.86108734,1.370062646,476.5097918,0.627841616,0.012752048,1.119142148,26.25360301,0.462298587
70B,D70B43693,70B,August,16-Aug-19,10:16:00,50.39859,-109.08987,19.6,100,3.4,"AK, SC, RR",2.3,2.3,2.3,86,0,0,18.9,74.5,6.89,1547,0.89,9.06,18.4,7.7,0.72,1550,0.9,9,844.3488314,695.3,2,"Macrophytes submerged, grassy pature surrounding",Y,2.458841813,1.352492896,0.13,3.34e-4,8.89,0.02,2020,6047.904192,125.446,10445.12906,33.843,2817.901749,404.3888777,14.88015015,0.315847837,434.1261916,0.624894208,0.207031873,0.248635304,6.741262451,0.502918107
70A,D70A43693,70A,August,16-Aug-19,12:14:00,50.35455,-108.87635,17.6,100,18.2,"AK, SC, RR",1.42,2.4,2.5,84.2,0,0,18.8,57.8,5.33,16.45,0.95,8.02,16.6,0.9,0.08,1850,1.15,7.64,8.245673596,693.6,2,Dugout has overflowed its banks on one side,N,5.38081435,3.012537928,0.04,0.07,754.51,0.12,2140,30.57142857,49.226,4098.751041,25.955,2161.115737,2599.895097,95.69097757,1.36646281,433.2907882,0.62322092,0.010878063,0.240359964,6.518945872,0.042592431
44B,D44B43699,44B,August,22-Aug-19,13:31:00,52.67894,-108.9073,18.7,100,10.4,"SE, MM",0.64,1.9,1.9,91.9,0,0,18.8,95.1,9.04,526,0.29,8.44,14.8,13.7,1.39,489.4,0.3,7.6,272.4312223,703.1,1,NA,N,59.6338266,48.15436415,0.08,0.09,7.52,0.12,1690,18.77777778,43.092,3588.009992,28.271,2353.955037,266.1917611,9.96244886,0.322940444,392.3452035,0.574442341,0.036167375,0.241983674,6.679272971,0.103840829
69A,D69A43693,69A,August,16-Aug-19,11:00:00,49.32994,-109.04883,16,50,9.4,"SE, MM",0.12,1.9,1.9,90.5,0,0,16.9,62.2,6.03,286.4,0.16,9.16,15.6,1.4,0.14,2845,0.17,8.53,146.7721102,672.6,3,NA,N,165.1908422,147.8837533,0.1,0.03,17.05,0.09,2060,68.66666667,38.056,3168.692756,34.566,2878.101582,92.51254905,3.510343018,0.087314252,377.3544146,0.550716779,0.039175546,0.177690582,4.987697028,0.077416281
48B,D48B43668,48B,July,22-Jul-19,14:13:00,49.99197,-101.92989,22.6,0,2.3,"SE, SC",0.62,1.8,1.8,100.5,0,0,24.5,150.1,12.11,749,0.35,9.16,16.4,1.4,0.14,743,0.44,7.53,391.3320912,714.5,NA,"Corn crop on south side, bush on north side",N,44.0340234,37.42508093,0.11,0.02,4.52,0.05,1470,73.5,44.726,3724.063281,27.056,2252.789342,126.3706915,4.084138131,0.498491862,407.3562577,0.542277934,0.009932796,0.220987829,5.22680389,0.065671713
20,D2043668,20,July,22-Jul-19,11:42:00,50.1083644,-102.0415319,20.3,50,2.4,"SE, SC",2.14,3.4,3.4,95.9,0,0,24.4,96.3,7.95,1175,0.59,8.59,14.8,1.4,0.14,1125,0.7,7.54,632.9219265,715.1,NA,"W20 is ~1600m, D20 500m, horses have direct access",N,3.559183917,2.764693028,0.03,0.00736,2.31,0.02,1360,184.7826087,53.666,4468.442964,24.336,2026.311407,503.2974293,16.30647251,0.452118236,395.1767465,0.526692935,0.009940999,0.278145517,6.593780195,0.026704984
66B,D66B43679,66B,August,2-Aug-19,09:28:00,50.13197,-104.83163,24,0,10.2,"SE, MM, HJ",0.18,2.4,2.4,81.6,0,0,20.7,83.2,7.41,2175,1.22,9.16,18.5,66.2,6.17,2062,1.22,9.07,1202.244079,710.1,1,Lots of macrophytes and many snails,N,7.162753,3.622623111,0.07,0.01,3.33,0.03,1820,182,67.057,5583.430475,34.065,2836.386345,173.0621338,6.159810972,0.332461837,345.3082452,0.488433039,0.143732613,0.278944099,7.293793839,0.01807677
10A,D10A43703,10A,August,26-Aug-19,13:33:00,51.77976,-103.42545,18.7,10,5.3,"SE, SC",1.37,0.9,1.25,89.7,0,0,19.5,99.5,9.1,741,0.41,8.92,16.1,51,4.99,735,0.44,8.73,386.8006028,709.1,2,"Surrounded by cattails, build as a borrow pit for when the road was built",N,31.3603975,28.18900167,0.14,0.00391,8.98,0.03,1330,340.1534527,31.967,2661.698585,17.529,1459.533722,201.9025709,7.460127091,0.565353456,334.0316495,0.485811395,0.01717136,0.268387558,7.305172082,0.079364222
7I,D7I43697,7I,August,20-Aug-19,12:48:00,51.50302,-106.83578,25.6,1,2.3,"AK, MM",0.25,1.6,1.6,124.6,0,0,19.5,158.4,14.44,1019,0.57,9.64,16.2,54.4,5.36,932,0.56,9.25,544.3868497,719,NA,NA,N,141.2931177,137.1581023,0.34,0.16,79,0.3,4530,28.3125,73.654,6132.722731,50.861,4234.887594,95.91847398,3.590897168,0.428301631,327.4403036,0.482388931,0.041141546,0.327233701,9.022610229,0.030622616
26C,D26C43692,26C,August,15-Aug-19,12:27:00,49.25732,-108.40901,19.1,25,6.4,"SE, MM",0.49,1.5,1.5,95,0,0,19.3,106.6,9.55,232.4,0.12,9.05,16,12,11.9,242.8,0.14,7.4,118.6883969,679,1,NA,N,124.1055523,93.69097933,0.02,1.25,203.7,1.17,1960,1.568,28.965,2411.740216,27.034,2250.957535,103.747385,3.697420454,0.226427659,333.1001104,0.466645687,0.056038357,0.254695075,6.691049695,0.094031669
60C,D60C43697,60C,August,20-Aug-19,10:57:00,51.68453,-107.21783,17,0,8.2,"SE, SC, Linn",0.2,2,2,91.1,0,0,18.6,75.5,7.07,1518,0.88,8.33,14,0.7,0.07,1422,0.9,7.91,827.8512199,719,1,NA,N,87.31057253,70.36043613,4.4,0.75,6788.1,1.29,16900,22.53333333,236.958,19730.05828,83.506,6953.039134,6063.574754,232.8082548,1.467838722,285.1610217,0.427139194,0.005623814,0.106920825,3.026209778,0.09608102
69B,D69B43693,69B,August,16-Aug-19,10:08:00,49.33157,-109.10519,15.8,33,14.4,"SE, MM",0.9,2.6,2.6,88.1,0,0,17.9,91.5,8.66,487,0.27,8.94,16.5,1.5,0.15,495.9,0.29,8.08,251.9274347,674.1,2,2/3 of dugout srruounded by cattails,N,8.002142117,6.296021675,0.02,0.00141,0.18,0.02,782.07,554.6595745,33.467,2786.594505,16.512,1374.854288,132.903252,4.899935888,0.131410857,275.74725,0.394501414,0.004821224,0.265828368,7.238001719,0.057057452
27C,D27C43684,27C,August,7-Aug-19,12:32:00,49.52956,-101.91077,24.1,3,9.5,"SC, SC, RR",2.4,2.8,2.8,91.3,0,0,22.2,88.8,7.68,286.3,0.14,8.67,21.1,29.4,2.61,332.9,0.17,7.95,146.7199795,709.8,4,"Foamy algae, hose, pump, and equipment in dugout",N,2.843543583,1.528417056,0.03,0.00293,2.84,0.02,619.45,211.4163823,24.341,2026.727727,10.642,886.0949209,135.6976982,4.648298224,0.130057355,269.5449922,0.372596476,0.003041019,0.253342876,6.371394279,0.078786024
14A,D14A43675,14A,July,29-Jul-19,10:09:00,51.04659,-104.65096,16.4,0,5.4,"AK, MM",0.76,3.6,3.6,106.7,0,0,18.8,62.7,5.71,4163,2.55,8.64,8.9,1.4,0.16,57.59,4.63,7.58,2343.142538,717.2,NA,"deep BT had 50ml - not reset, shallow BT had 1L - reset, cows entered dugout",Y,5.008391925,2.791627719,0.05,1.01,490.67,1.27,4530,4.485148515,89.626,7462.614488,57.335,4773.938385,564.5139002,21.32319892,1.05580892,230.5165917,0.339401766,0.13211888,0.560206442,15.56055796,0.456424788
5,D543704,5,August,27-Aug-19,15:15:00,51.37141,-102.58296,19.4,50,8,"AK, MM, RR",1.28,1.7,1.7,89.2,0,0,20.8,66.5,5.9,3400,1.95,9.27,19.3,67.3,6.14,3292,1.92,9.36,1903.845063,712.3,2,"near but not connected to a slough, appears to have been accessed by animals, very clear, stringy macrophytes on bottom",N,5.927624708,2.631001681,0.09,6.4e-4,7.01,0.01,1370,2140.625,41.837,3483.513739,26.594,2214.321399,78.54979061,2.786968451,0.19788796,223.164123,0.314579266,0.097622975,0.25955349,6.757885602,0.123984642
10B,D10B43703,10B,August,26-Aug-19,14:16:00,51.77518,-103.46144,17.9,10,20,"SE, SC",0.34,2.1,2.1,100.2,0,0,18.9,100.5,9.3,953,0.54,9.01,14.5,2.2,0.22,935,0.58,7.54,506.95249,708.9,1,NA,N,88.68765657,85.14541143,0.05,0.00403,33.34,0.04,1560,387.0967742,37.883,3154.288093,30.021,2499.666944,132.668933,4.985452191,0.133389176,203.4634526,0.29925926,0.005039987,0.286948566,7.948895372,0.116238343
62E,D62E43678,62E,August,1-Aug-19,13:14:00,50.31067,-106.4241,31.9,60,9.8,"MM, AK",0.41,2.1,2.1,74,0,0,24.9,46.3,3.77,4625,2.47,8.43,17.8,1.2,0.11,3942,2.46,8.23,2609.989274,700.4,1,NA,N,27.25737588,25.61887037,0.03,0.86,710.52,1,5120,5.953488372,101.299,8434.554538,63.511,5288.17652,1353.884616,42.02940558,0.64310148600000006,227.1035732,0.290446971,0.00540238,0.422982832,9.577526331,0.054829406
10C,D10C43703,10C,August,26-Aug-19,12:32:00,51.80564,-103.37805,16.9,33,16.9,"SE, SC",0.8,3.1,3.1,92.9,0,0,18.5,86.3,8.07,1033,0.59,8.31,16.3,18.8,1.86,987,0.6,7.76,552.3292143,709.2,2,in elk pasture,N,2.867802083,1.914902708,0.11,0.00276,67.55,0.02,1910,692.0289855,33.45,2785.179017,27.728,2308.742714,450.2825666,17.12723673,0.180211445,191.1965187,0.283596222,0.008383253,0.313446562,8.793464688,0.045149717
58C,D58C43699,58C,August,22-Aug-19,14:08:00,52.64003,-107.45976,24.7,100,11,"AK, SC, RR",0.32,2.2,2.2,93.2,0,0,17.6,88.9,8.51,312.7,0.18,8.42,15.4,69.4,6.95,299.9,0.18,8.3,160.4965563,707.2,2,NA,N,27.1782027,7.9226598,0.11,0.00653,35.95,0.02,1220,186.8300153,44.468,3702.581182,19.064,1587.34388,545.7662365,21.31147012,1.009015579,178.4317248,0.26967779,0.009657549,0.21531303,6.212793223,2.277554088
70C,D70C43693,70C,August,16-Aug-19,09:11:00,50.39629,-109.11735,17.8,100,5,"AK, SC, RR",1.7,1.8,1.8,93.5,0,0,15,80.6,8.08,488.5,0.29,8.15,14.7,81.8,8.28,486,0.3,8.03,252.7160627,694.2,3,"Radon collected at 9:15, macrophytes submerged and emengent, water is pumped into dugout via pipes, pump running, surrounded by paasture, next to freefight lake",N,6.772882502,5.690872523,0.04,0.02,7.85,0.03,196.75,9.8375,70.15,5840.965862,3.819,317.9850125,1386.949858,57.59494206,0.872217004,148.3476841,0.232852732,0.005119991,0.198148808,6.104367443,0.058493749
15A,D15A43683,15A,August,6-Aug-19,13:35:00,49.52991,-101.89362,26.7,10,1.8,"MM, AK",0.47,4.8,4.8,89.9,0,0,24,105.1,8.75,1000,0.5,8.57,23.3,76.8,6.48,983,0.5,8.45,533.6089018,704.6,3,"Very tall reeds (>6ft), radon collected at 2:30 pm, pump in middle of dugout, floating chamber with 60 mL syringe",Y,38.06576362,32.35621738,0.03,0.12,0.99,0.16,1130,9.416666667,64.185,5344.29642,19.313,1608.076603,615.773504,19.88206958,0.460881095,151.9150127,0.201076278,0.005070279,0.268045032,6.336409111,0.050713898
10D,D10D43703,10D,August,26-Aug-19,11:45:00,51.80381,-103.40324,18.2,20,17.1,"SE, SC",0.9,0.9,0.9,95.4,0,0,18.2,89.2,8.37,2290,1.37,7.91,17.5,73.7,7.01,2275,1.38,7.84,1267.913672,709.2,1,"flowing well, surrounded by cattails, small mounds on either side, farmer does not know age of DO since he rents the land",N,3.66671395,1.909422878,0.05,0.00299,1.44,0.01,1150,384.6153846,74.242,6181.681932,24.271,2020.899251,2435.730197,93.14096876,1.416745136,110.6972733,0.164415913,0.009376275,0.249020855,7.019338525,0.030462384
55B,D55B43669,55B,July,23-Jul-19,09:01:00,49.97314,-101.76761,28,40,9,"AK, RR",0.71,5.5,5.5,95.7,0,0,21.8,121.9,10.57,291.3,0.15,9.35,8.8,0.8,0.09,290.9,0.2,7.3,149.3270276,715.9,NA,"Pump in dugout, canola on one side, cat tails, gravel roads on others",Y,11.51433583,12.569035,0.03,0.00489,0.98,0.02,814.54,166.5725971,29.093,2422.398002,15.051,1253.205662,114.3335543,3.995006321,0.511015103,107.6882677,0.151292319,0.005607545,0.266853859,6.849298557,0.025383089
30B,D30B43696,30B,August,19-Aug-19,16:46:00,51.3432,-108.06297000000001,21.8,2,7.6,"MM, AK",0.29,2.4,2.4,84.5,0,0,20.2,170,15.54,592,0.33,9.66,15.8,1.2,0.12,556,0.33,8.54,307.1033389,707.9,1,Used Van Dorn,Y,80.193644,74.409056,0.08,0.06,8.32,0.09,1880,31.33333333,38.151,3176.602831,27.162,2261.615321,54.85726731,1.983127449,0.293389519,105.6129366,0.151257885,0.004672706,0.2361875,6.284215025,0.07365886
58A,D58A43699,58A,August,22-Aug-19,12:24:00,52.62406,-107.45499,24.9,85,7.1,"AK, RR, SC",0.86,1.9,1.9,72.2,0,0,17.3,103.1,9.83,2740,1.71,8.41,14.7,14.6,1.46,3352,2.25,7.85,1525.271009,707.2,1,Radon collected at 12:25. '1915',N,10.62763194,3.515291944,0.11,6.35e-4,66.37,0.06,7350,11574.80315,154.819,12890.84097,118.839,9895.004163,1463.067021,57.23703696,1.053872113,90.65065364,0.136553264,0.003468928,0.304033489,8.775707615,0.061795639
65,D6543690,65,August,13-Aug-19,09:29:00,52.55168,-103.89573,17.9,5,2.7,"SE, SC",3.7,3.7,3.7,78.9,0,0,18.9,93,8.64,270.1,0.15,8.47,17.7,16.5,1.47,302.2,0.17,7.77,138.2805416,718.5,1,NA,N,4.781675389,2.722888944,0.08,0.00517,30.7,0.00839,914.9,176.9632495,33.329,2775.10408,14.44,1202.331391,450.5852357,17.19294154,0.803166074,80.58733018,0.120430686,0.319828531,0.266024842,7.486561945,0.291388551
66A,D66A43679,66A,August,2-Aug-19,11:43:00,50.12535,-103.86206,31.6,0,4.5,"SE, HJ",1.95,2.3,2.3,81.6,0,0,23.7,98.2,8.28,1446,0.74,8.73,17.5,5.2,0.5,1347,0.75,8.22,786.9028845,709.9,3,Lots of snails,Y,6.119552322,4.613498622,0.04,0.00646,11.52,0.06,1500,232.1981424,79.692,6635.470441,28.094,2339.217319,473.6123129,15.51791164,0.180851768,88.2333271,0.118144446,0.04310185,0.270468079,6.488517012,0.062528008
56C,D56C43678,56C,August,1-Aug-19,11:32:00,49.93433,-105.29492,24.7,5,10.3,"SE, SC",0.56,3.7,3.7,106,0,0,20.6,126.5,11.27,811,0.43,9.17,10.1,1,0.11,809,0.57,7.21,426.4578985,694.6,1,Lots of filamentous algae,N,240.2835528,245.7670268,0.16,0.28,7.33,0.33,1780,6.357142857,47.966,3993.838468,27.136,2259.450458,132.7925249,4.653730233,0.723396022,70.90161907,0.098780713,0.006386396,0.271306406,6.993045909,0.038451389
61B,D61B43676,61B,July,30-Jul-19,01:02:00,50.24011,-105.99783,27.5,50,17,"AK, MM",0.17,1.6,1.6,91.9,0,0,19.9,87,7.83,4088,2.43,8.04,17.2,41.4,3.96,3847,2.43,7.83,2299.883595,698.4,NA,Rad collected at 1:26,N,17.82260907,13.57075177,1.63,0.0054,85.53,0.03,3550,657.4074074,40.074,3336.7194,38.852,3234.970858,837.9324005,29.85475122,5.642387281,66.13019737,0.092778955,0.09860576,0.353362515,9.244862077,0.599908759
56A,D56A43678,56A,August,1-Aug-19,10:11:00,49.98365,-105.28638,22.2,0,7.4,"SE, SC",3.4,3.4,3.4,91.8,0,0,21.4,93.5,8.17,3137,1.77,9.08,10.4,1.2,0.12,7441,5.83,7.23,1752.830416,700.9,1,NA,N,5.149221642,3.705196692,0.04,0.00815,1.86,0.02,1450,177.9141104,42.933,3574.771024,24.762,2061.781848,159.2706346,5.470156207,0.654397637,62.73925942,0.086100775,0.080969338,0.282196318,7.108139087,0.047926134
10E,D10E43703,10E,August,26-Aug-19,10:59:00,51.79862,-103.40493,18.6,10,4.6,"SE, SC",1.7,2.6,2.6,99.6,0,0,18.8,90.3,8.37,1433,0.82,8.14,15.7,53.2,5.14,2267,1.44,7.17,779.5111455,709.7,2,built in 2017,N,6.592900375,3.360248125,0.02,0.00407,3.64,0.01,1050,257.985258,35.508,2956.53622,20.99,1747.710241,442.9302726,16.69097966,0.164660113,28.96142775,0.042658372,0.002254896,0.295565073,8.208670833,0.055278607
56B,D56B43678,56B,August,1-Aug-19,12:46:00,49.98283,-105.30247,22.3,33,14,"SE, SC",1.14,2.5,2.5,89.4,0,0,21.4,92.1,8.08,2635,1.47,9.65,17.5,1.2,0.12,2442,1.48,9.41,1465.165586,701.4,3,NA,N,42.18983907,34.84619685,0.1,0.13,4.75,0.19,2050,15.76923077,39.377,3278.68443,33.917,2824.063281,85.91132547,2.956815447,0.61441458,16.23124872,0.022332538,0.006692084,0.304595391,7.691451943,0.142494092
