Site,Sorting,Site_ID,Month,Date,Time,latitude,longitude,Air_temp,Cloud (%),Wind_km.hr,Field_team,Secchi.m,Depth.m,Max_depth.m,DO Calibration%,Sample_depth,Depth_grouped,Surface_Temp,Surface_DO.sat,Surface_DO.mg.L,Surface_Cond,Surface_Sal.ppt,Surface_pH,Deep_Temp,Deep_DO.sat,Deep_DO.mg.L,Deep_Cond,Deep_Sal.ppt,Deep_pH,TDS.mg.L,YSI_atm,Tows,General Comments,Floating_chamberY/N,Chl_total,Chla,NH3.mg.N.L,SRP.mg.P.L,Nitrate_Nitrite.ug.N.L,TP.mg.P.L,TN.ug.N.L,NP_ratio,DIC.mg.L,DIC.uM,DOC.mg.L,DOC.uM,pCO2,CO2.uM,CO2.uM.error,pCH4,CH4.uM,CH4.uM.error,pN2O,N2O.nM,N2O.nM.error
75,D7543686,75,August,9-Aug-19,09:45:00,49.52956,-101.91077,19.7,10,1.9,"SE, SC",0.79,1.9,1.9,101.7,0,0,18.8,42.2,3.93,255,0.14,7.26,18,5.7,0.49,258.4,0.14,6.83,130.4249075,704.2,1,"WL down from July sampling, floating filamentous algae, lots of bubbles venting while sampling, 500 mL deep bubbles, shallow bubble trap is dead",N,43.69022597,36.97227662,0.00526,0.13,144.98,0.16,940.17,7.232076923,42.767,3560.949209,15.759,1312.156536,5039.567588,189.0384414,4.855279308,1734.598598,2.546049298,0.097378281,0.198431039,5.49063451,0.069407294
74A,D74A43703,74A,August,26-Aug-19,11:59:00,52.61404,-107.40237,19.4,70,12.4,"AK, MM, RR",1.24,2.5,2.5,84.3,0,0,19.1,96,8.88,283.8,0.15,9.11,15.5,2.1,0.21,286.5,0.17,8.38,145.4168507,712,2,NA,N,100.921908,92.77947533,0.08,0.00383,28.32,0.03,1230,321.1488251,45.554,3793.005828,17.291,1439.716903,105.4170301,3.962373358,0.454105707,1725.971579,2.54543366,0.051889194,0.254874092,7.063679552,0.014747989
48A,D48A43668,48A,July,22-Jul-19,13:24:00,50.10677,-102.0385,22.6,25,3.31,"SE, SC",1.52,1.7,1.75,93.9,0,0,20.9,43.1,3.72,1010,0.54,8.33,17.4,1.1,0.1,921,0.54,7.42,539.2813659,714.6,NA,"Pasture - no animals at time of sampling, radon collected at 13:35",N,10.724278,5.065462,0.03,0.78,85.97,0.85,1720,2.205128205,78.835,6564.113239,30.206,2515.070774,1493.932484,53.37026364,1.664626336,1769.541912,2.519540832,0.266510733,0.194787352,5.115235517,0.063977897
4G,D4G43671,4G,July,25-Jul-19,12:29:00,50.39611,-104.57735,22.8,90,13.3,"MM, RR",0.31,2.1,2.1,74.5,0,0,21.3,63.5,5.63,505,0.26,7.83,20.1,9.2,83,495.8,0.27,7.46,261.3910701,706.1,2,NA,Y,80.94232083,68.11824917,0.06,0.4,1.09,0.46,1450,3.625,69.53,5789.342215,25.369,2112.323064,2422.145169,84.63279716,2.249881076,1778.310678,2.486604912,0.060020907,0.214252819,5.502035123,0.035997649
7A,D7A43697,7A,August,20-Aug-19,11:22:00,51.41349,-107.00169,23.8,0,0,"AK, MM",1.3,4,4,75.9,0,0,17.8,87.5,8.07,841,0.48,9.17,12,1.1,0.12,828,0.55,7.6,443.4585616,720.8,1,"Floating barrel, cats!",N,11.60332653,9.679113133,0.1,3.68e-4,3.25,0.02,1510,4103.26087,40.089,3337.96836,23.075,1921.31557,125.3527564,4.951775585,0.234341312,1590.93103,2.43568699,0.069958186,0.251129157,7.325445499,0.07892982
8G,D8G43690,8G,August,13-Aug-19,09:22:00,52.62791,-104.71501,17.7,5,1.6,"RR, AK, CD",0.44,1.1,1.1,100,0,0,17.2,143.5,13.92,654,0.38,9.07,16.7,134.1,12.93,69,0.38,9.01,339.5992383,719.3,NA,NA,N,14.08010897,10.11271652,0.07,0.19,48.54,0.24,2940,15.47368421,96.796,8059.616986,59.821,4980.932556,252.3926658,10.13751991,0.198701029,1559.970134,2.415605695,0.048120415,0.238816066,7.090564481,0.055897307
4E,D4E43671,4E,July,25-Jul-19,10:48:00,50.35351,-104.57767,21.7,5,9.2,"MM, RR",0.27,0.27,0.27,110,0,0,18.3,56.6,5.49,49.1,0.21,9,18.3,56.6,5.49,49.1,0.21,9,24.70460098,706.9,NA,"Sampled from surface, no zooplankton tows",N,37.35347315,25.7645321,0.13,0.59,18.74,0.71,3020,5.118644068,49.31,4105.745212,43.373,3611.407161,177.703862,6.790040258,1.352261393,1607.810688,2.392803541,0.14619574,0.24714282,6.97044106,0.14861769
67B,D67B43684,67B,August,7-Aug-19,10:20:00,50.282,-103.71049,15.2,0,13.8,"MM, AK",0.65,2.5,2.5,112.4,0,0,20.1,50.4,4.56,692,0.37,8.48,17.3,0.7,0.07,697,0.41,7.57,359.4590871,705.4,1,Very teal blue water- maybe treated with copper sulfate?,N,5.330117426,3.848850124,0.04,0.44,374.53,0.54,1810,4.113636364,58.726,4889.758535,21.843,1818.734388,659.0256381,23.80504438,0.226201957,1568.841737,2.242895975,0.058271032,0.297846433,7.919088335,0.064242071
57D,D57D43700,57D,August,23-Aug-19,12:00:00,52.40302,-107.93,19.4,0,14.9,"AK, RR, SC",1.3,1,1,89.4,0,0,16.9,94.3,9.41,266.5,0.15,9.3,15.7,84.2,8.35,316.4,0.15,9.3,136.4067056,699,2,Secchi was 1.3m but depth finder was 0.9m = machrophytes?,N,14.43801958,10.3961525,0.17,0.02,67.01,0.07,2230,111.5,35.861,2985.928393,29.988,2496.919234,68.82969431,2.714349609,0.42449214,1425.533219,2.162241763,0.116606707,0.267666637,7.808660813,0.131803728
63A,D63A43689,63A,August,12-Aug-19,12:20:00,50.57324,-104.47174,15.7,50,7.4,"SE, SC",1.14,2.6,2.6,89.2,0,0,17.8,24.9,2.35,1917,1.15,8.25,6.1,1.3,0.16,1827,1.49,7.35,1055.063613,719.7,1,"Surrounded on 3 sides with dead trees - 1 side has cattails, lots of floating plant matter - lemna maybe, water is actively pumped out for cattle use",N,20.61406917,12.21633308,0.05,0.64,198.44,0.75,3320,5.1875,93.01,7744.379684,56.151,4675.353872,1635.578584,64.3066674,1.997337008,1262.205447,1.921278436,0.069429053,0.187599223,5.4418766,0.171701464
